completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,300,2bdbef5f55c8f91b2f7fa4da3516aa4fd37b6865c939805deb5a0bf181faaaf9,1784556139.2204247,,length,200,35.892595052719116,1,64,1217,True,A_prefill,4255,A_prefill,1784556103.3278296,4319,True
96,450,fcc7321c6cc67efec5947482096c4d6179069e850090ba9a8ebc9c776ef8bfe7,1784556140.138783,,length,200,36.81013822555542,2,96,1243,True,A_prefill,4334,A_prefill,1784556103.3286448,4430,True
128,508,1da96a92ffcf971e217712df3d168dbcd7e970b6146ac010ec88c77abdfb87ca,1784556140.7535307,,length,200,37.425331592559814,3,128,1236,True,A_prefill,4315,A_prefill,1784556103.3281991,4443,True
128,525,8d0c4954a7e0ae26a4287d15e65840fa5e72f14628c43c4a2d587efb0d8a0fed,1784556140.7532694,,length,200,37.423907995224,4,128,1083,True,A_prefill,3772,A_prefill,1784556103.3293614,3900,True
64,251,e9beb359eca7a403468d3432890df58ebc36998e7e0dddf7ab4ed8d16d63e739,1784556139.2202182,,length,200,35.89025688171387,5,64,1228,True,A_prefill,4292,A_prefill,1784556103.3299613,4356,True
96,373,3a18729c13769bbf9ccce3aecccc733e48044073b84be94fa36d3917ab7ab6cd,1784556140.1381195,,length,200,36.80737829208374,6,96,1137,True,A_prefill,3991,A_prefill,1784556103.3307412,4087,True
128,578,1c370419ebf9e78708545f9e364263ff374e6e5e27d29c969b12251008c86405,1784556140.752515,,length,200,37.42115616798401,7,128,1116,True,A_prefill,3910,A_prefill,1784556103.331359,4038,True
128,594,428e3466057592304e8287d5bfddbfb9d38adab6e405e79abac15d6575f35f6e,1784556140.752949,,length,200,37.42099046707153,8,128,1069,True,A_prefill,3732,A_prefill,1784556103.3319585,3860,True
64,247,14a11b6ce4906c295b6956f4c52e13713aff08bc13a030aa4e555b6d86a6952e,1784556139.527038,,length,200,36.19464659690857,9,64,1275,True,A_prefill,4439,A_prefill,1784556103.3323915,4503,True
64,299,9f7e8fd10c782bf2e6caa427a08b805592fa5d027a5f42e950ab309909c6e26b,1784556139.220369,,length,200,35.88737344741821,10,64,1256,True,A_prefill,4382,A_prefill,1784556103.3329957,4446,True
128,456,df7fd380f111f4a918592cd1ec71327c84b4a3b4fe4e689b964d9db964626db0,1784556140.7520976,,length,200,37.41857314109802,11,128,1285,True,A_prefill,4484,A_prefill,1784556103.3335245,4612,True
96,438,a70f2d2e8bba1b1bc74b0db973725609ff6ceafd1871cb17a73d623f67d9d6a7,1784556140.1388302,,length,200,36.80468130111694,12,96,1243,True,A_prefill,4343,A_prefill,1784556103.334149,4439,True
64,294,287b881c5b157a7d7527d39d3830a3e5324df7f870abe9c0e04811401d1fbc31,1784556139.5275228,,length,200,36.192749977111816,13,64,1170,True,A_prefill,4133,A_prefill,1784556103.3347728,4197,True
64,266,de6c90e8dbc5bac5fd09af6f11d191531463ef48a0091649a8ba4b9284478658,1784556139.5277107,,length,200,36.192078828811646,14,64,1130,True,A_prefill,3976,A_prefill,1784556103.3356318,4040,True
64,278,d0ad3a8c895fe888519654bc4e09a823b815767b314ee645dcd125fe86e1cb93,1784556139.5276155,,length,200,36.19108581542969,15,64,1073,True,A_prefill,3749,A_prefill,1784556103.3365297,3813,True
96,434,94c86e564ae2af4e9714aafeeb11b033d7900d37585978387e90bdad968cf91e,1784556140.138414,,length,200,36.80144238471985,16,96,1324,True,A_prefill,4644,A_prefill,1784556103.3369715,4740,True
96,430,59c07d08af670ecc5151d734411ea8bb2abbbf276cff95ff04b4c00798ca2fca,1784556140.138739,,length,200,36.80105948448181,17,96,1160,True,A_prefill,4099,A_prefill,1784556103.3376796,4195,True
64,298,6d3334fa1631c36bda69896ca6a303db9bd0a87b3c1e6513e7e99a05e750a3e8,1784556139.5262923,,length,200,36.188143730163574,18,64,1218,True,A_prefill,4268,A_prefill,1784556103.3381486,4332,True
96,382,b421a125cc16a5085da09fd6baa73f107eb097f1d43eb38b3cab8fd17004790e,1784556140.139733,,length,200,36.800949573516846,19,96,1335,True,A_prefill,4691,A_prefill,1784556103.3387835,4787,True
128,548,7124d95c23df113ea59da31bb865e80f17b97861964fe6d1c48254bb5513f78a,1784556140.7533886,,length,200,37.41413378715515,20,128,1260,True,A_prefill,4395,A_prefill,1784556103.3392549,4523,True
128,510,e0ecdeab0da5b1ffb51880bd62b40c0a68bb53de3f4127b854ec8d943067740f,1784556140.7539146,,length,200,37.41421031951904,21,128,1311,True,A_prefill,4598,A_prefill,1784556103.3397043,4726,True
128,615,3c6acd893559fd609e10c63b9b671bb4fafe18840bc45794525fdcc9fc5bb3f3,1784556140.7529075,,length,200,37.412726640701294,22,128,1088,True,A_prefill,3817,A_prefill,1784556103.3401809,3945,True
64,266,de6c90e8dbc5bac5fd09af6f11d191531463ef48a0091649a8ba4b9284478658,1784556139.5274158,,length,200,36.186847448349,23,64,1111,True,A_prefill,3909,A_prefill,1784556103.3405683,3973,True
96,443,57d56911c2411169b8757ba913dafdd3005ca28cbd84c601cfce4a05adcee269,1784556140.139017,,length,200,36.79792642593384,24,96,1126,True,A_prefill,3970,A_prefill,1784556103.3410907,4066,True
64,247,14a11b6ce4906c295b6956f4c52e13713aff08bc13a030aa4e555b6d86a6952e,1784556139.5264406,,length,200,36.18480563163757,25,64,1328,True,A_prefill,4669,A_prefill,1784556103.341635,4733,True
64,225,f1893863f39dc8cd386f90897c9edfa728de81bbf86fb424e8a072fa5748395a,1784556139.5274677,,length,200,36.18539237976074,26,64,1349,True,A_prefill,4754,A_prefill,1784556103.3420753,4818,True
128,499,d7267fe461c4ea6abfdc97268fce63c1a829210f58715c786df9a2dfc2e5388d,1784556140.7538252,,length,200,37.41069316864014,27,128,1159,True,A_prefill,4098,A_prefill,1784556103.343132,4226,True
128,595,bd487cd5ad1af02b3f72a2f464d3820138cf94021b54c13b8cfec9607316917e,1784556140.7519383,,length,200,37.407891273498535,28,128,1108,True,A_prefill,3903,A_prefill,1784556103.344047,4031,True
64,299,41d8fb98f6137fda6651bea84b797cae4dc7f85f6d6b2fe054bdf389f08455d7,1784556139.5266073,,length,200,36.181588888168335,29,64,1260,True,A_prefill,4401,A_prefill,1784556103.3450184,4465,True
128,527,9eca36eb7e32d5319601b00e2fdf5dece5537e785a46765e4a05f0a7c585f9b2,1784556140.7538714,,length,200,37.40840482711792,30,128,1328,True,A_prefill,4675,A_prefill,1784556103.3454666,4803,True
96,373,d19c0c1ed14bf5d9745d141823186711864797999d0b6c17214278cbebb28e33,1784556140.1400309,,length,200,36.794074296951294,31,96,1148,True,A_prefill,4065,A_prefill,1784556103.3459566,4161,True
96,415,b0098e07f6db6b226b69ba2157329c1b8f4aaae083bde5d2fadfe150b1caa23f,1784556140.138367,,length,200,36.79204249382019,32,96,1143,True,A_prefill,4046,A_prefill,1784556103.3463244,4142,True
473,2303,f6839a7a91428e55cad6ccbcbcb114854dd09d6f68c1aa43cbdd40b927746770,1784556144.7764032,,stop,200,19.44813299179077,33,1200,429,True,B_decode,1553,B_decode,1784556125.3282702,2026,True
777,3644,b12fe8eca46c726547c630540d12ede9a4cb228caa6b51d03d2e47ba9eb268cd,1784556147.228838,,stop,200,21.900211334228516,34,1200,354,True,B_decode,1332,B_decode,1784556125.3286266,2109,True
1025,4871,7f97b80440b0123ad91d3f20e75756ba8f52428232e9db681d73047ab8a6744f,1784556148.4536726,,stop,200,23.12575912475586,35,1200,425,True,B_decode,1541,B_decode,1784556125.3279135,2566,True
817,3874,34a1262c919b7b37e5f5af67ffe4dc2e0aa9eb6bac00455e67c0ca64c82c0266,1784556147.5352294,,stop,200,22.205597162246704,36,1200,356,True,B_decode,1342,B_decode,1784556125.3296323,2159,True
512,2547,bbb65ac1b4619ff3fc5336b4923ea60119f1831d17dd3140bafb9e8c9aa4ec5c,1784556145.0830328,,stop,200,19.747537851333618,37,1200,447,True,B_decode,1607,B_decode,1784556125.335495,2119,True
787,3840,4e1d4306b6ecaa01547519ae48b685b4496d9c433dfeaea8591b8c6c94e7b824,1784556147.5352747,,stop,200,22.207637786865234,38,1200,546,True,B_decode,1994,B_decode,1784556125.327637,2781,True
662,3097,b9975693396b320e05e88e80e0cb79e5641ea91774ff5b75c197c3dccf524762,1784556146.6151545,,stop,200,21.283405303955078,39,1200,437,True,B_decode,1577,B_decode,1784556125.3317492,2239,True
674,3236,e67c5c7d210fcaba3ba730088bcc449a1004bc3419268501ac99f9ab4d24e941,1784556146.6152205,,stop,200,21.281572103500366,40,1200,483,True,B_decode,1744,B_decode,1784556125.3336484,2418,True
485,2272,e5531f05f080c35f65aebf915280a0398cd1f930b03a46a92be0b7892454687a,1784556144.7763376,,stop,200,19.4423348903656,41,1200,352,True,B_decode,1331,B_decode,1784556125.3340027,1816,True
842,3930,1639b9ce870247fe0e01b6c54a98f4d8796c711d0b543898e0673e36c29c2bb0,1784556147.5351195,,stop,200,22.20438575744629,42,1200,507,True,B_decode,1842,B_decode,1784556125.3307338,2684,True
466,2133,42ad799504c353b2088456fa9a047381eba715b5f9286053ee49aa7ae286d3ca,1784556144.4692144,,stop,200,19.139037370681763,43,1200,402,True,B_decode,1472,B_decode,1784556125.330177,1938,True
819,3587,6c032501f51c600f99e04eae7332363c721cefbf7be96a7e4e90a1ae9842e97f,1784556147.5351682,,stop,200,22.206721544265747,44,1200,419,True,B_decode,1523,B_decode,1784556125.3284466,2342,True
611,2886,278a4b76fac77a21e07e8d57a57b3f4ec9fb89d80cf00755763c36f034d0673e,1784556146.0022755,,stop,200,20.667061805725098,45,1200,422,True,B_decode,1532,B_decode,1784556125.3352137,2143,True
558,2788,17d22514612cb7ea1b218d22a4ea6667dfde92e5847f726c5b23a9ca97de773f,1784556145.695702,,stop,200,20.36094832420349,46,1200,537,True,B_decode,1966,B_decode,1784556125.3347538,2524,True
773,3379,817c95aa25ec99f4626ee0412b4b9fb1904a81b24b789fd4a8d319592b49b0f3,1784556147.2291524,,stop,200,21.894911527633667,47,1200,369,True,B_decode,1373,B_decode,1784556125.334241,2146,True
625,3045,9fc7e8bd8d4331f2dce56fb60e0559799484f1103ddafb442f2f7c90661f1d2e,1784556146.3092897,,stop,200,20.97729253768921,48,1200,475,True,B_decode,1720,B_decode,1784556125.3319972,2345,True
434,2236,16dda1722764255d61fec57ed3b5d989a434b730c753981a0c320efe70f26448,1784556144.1637568,,stop,200,18.830648183822632,49,1200,391,True,B_decode,1439,B_decode,1784556125.3331087,1873,True
834,4173,af9603b94959cfba775b6d90102f7877490639645cd770e99bbfa30157a68f22,1784556147.5348823,,stop,200,22.20372986793518,50,1200,532,True,B_decode,1950,B_decode,1784556125.3311524,2784,True
1118,5234,0c85d31e7d4e8ac6c55ca1021d131c461aea12b45af0e2572f591a6a581daaa5,1784556148.7603657,,stop,200,23.42652130126953,51,1200,352,True,B_decode,1323,B_decode,1784556125.3338444,2441,True
735,3548,f955c22142ddbbc5dbd8e1ed4025319ba4adffb9872cd1ca8f548e60b4f60dde,1784556146.9235985,,stop,200,21.59548330307007,52,1200,508,True,B_decode,1856,B_decode,1784556125.3281152,2591,True
771,3672,f7e43c4a90f16b763b718ddb5389d0d5f45b5c28915ebe977de4b886c16c1df5,1784556147.2286868,,stop,200,21.899385929107666,53,1200,506,True,B_decode,1849,B_decode,1784556125.3293009,2620,True
763,3643,a20d2f76d231cc595265ab903c9f4876047132ab493280fbd2769d494e739bc8,1784556147.2288954,,stop,200,21.89624047279358,54,1200,512,True,B_decode,1874,B_decode,1784556125.332655,2637,True
708,3058,afef145469e446f51b27133a71a7870fbac3852ad8ed243dfe5aeeb068a50920,1784556146.9234824,,stop,200,21.59465742111206,55,1200,405,True,B_decode,1481,B_decode,1784556125.328825,2189,True
615,2805,64d598343a2b2ed565c26c6604a83fe52de48ec87fc856644904f749f9a4ffd9,1784556146.0023408,,stop,200,20.670039415359497,56,1200,403,True,B_decode,1475,B_decode,1784556125.3323014,2090,True
6000,29320,8ef419875ac68e967ee029d9de88d1088d9fbf5d564be27239ca27121f186a42,1784556171.2905521,,length,200,27.96365976333618,57,6000,58,True,C_tail,281,C_tail,1784556143.3268924,6281,True
6000,25421,f8b6e1d843e737d2922969b1f000ff1668b683ea3a3aac7d44752c3feaf66f28,1784556173.1289,,length,200,26.803942918777466,58,6000,56,True,C_tail,274,C_tail,1784556146.3249571,6274,True
6000,19730,1a92279dc810d13fa782af673c5d96b5a90eb4d50fb49eb6b73eddb1c0f6372d,1784556176.5609481,,length,200,27.236313343048096,59,6000,61,True,C_tail,295,C_tail,1784556149.3246348,6295,True
