completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,295,9428f833c12b7a779e9174da467032f8acf8598bb169cae78b293e6c655c309d,1784555818.3327982,,length,200,37.296807050704956,1,64,1217,True,A_prefill,4257,A_prefill,1784555781.0359912,4321,True
96,431,e6c2391ba98b2998980695937966b4cf50d2634928e27bc09184cafea7ac0eb3,1784555818.9282742,,length,200,37.891456604003906,2,96,1243,True,A_prefill,4336,A_prefill,1784555781.0368176,4432,True
128,609,7ba33ad7e5c017467af59fad9550260b5136bb64f58424a5e0916be5d4e8f87c,1784555819.5246136,,length,200,38.48716974258423,3,128,1236,True,A_prefill,4317,A_prefill,1784555781.0374439,4445,True
128,590,0bece9980997d013e0e4180dffa2b8cd77816a10134905b209ea9a51b5d96191,1784555819.5260983,,length,200,38.48816251754761,4,128,1083,True,A_prefill,3774,A_prefill,1784555781.0379357,3902,True
64,295,fd6f9f7088cb8203c8d17027e3e7d542f705fc4ab3f21a37d337f7b9afe3c45f,1784555818.3335507,,length,200,37.294923305511475,5,64,1228,True,A_prefill,4294,A_prefill,1784555781.0386274,4358,True
96,446,fc85feb8f2705fcef4f36cbe742045db83f99b8952ece52bf08208cd4f3e7ec2,1784555818.9259443,,length,200,37.886767625808716,6,96,1137,True,A_prefill,3993,A_prefill,1784555781.0391767,4089,True
128,598,0365ecc246ffbae2cdf78be06ba1b1cea8315cf50610ca1fff80d7d21b66ec95,1784555819.525375,,length,200,38.48546504974365,7,128,1116,True,A_prefill,3912,A_prefill,1784555781.0399098,4040,True
128,568,14b1f53f2d3600c537d452254c4f994a62ba50824b5815ea8bb5594efa01fb50,1784555819.5233397,,length,200,38.48239183425903,8,128,1069,True,A_prefill,3734,A_prefill,1784555781.040948,3862,True
64,291,38fde4d978028df31584a816a7a5abf9c9a622151fde5fcccabbc83f8c261866,1784555818.3331625,,length,200,37.29180335998535,9,64,1275,True,A_prefill,4441,A_prefill,1784555781.0413592,4505,True
64,279,91afbee0d126698b48819f2290b8b94675da2d3f5a09a9e0dfd0441cec367da4,1784555818.3321111,,length,200,37.29006624221802,10,64,1256,True,A_prefill,4384,A_prefill,1784555781.0420449,4448,True
128,586,7555d3cbba39e07dfdb94c6fbe76dd56d5584400f9a82941b42fa9fcfff390c3,1784555819.5281143,,length,200,38.485130310058594,11,128,1285,True,A_prefill,4486,A_prefill,1784555781.042984,4614,True
