allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
0,VllmDecodeWorker,,2026-07-20T17:48:08,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540888.4923685
0,VllmDecodeWorker,,2026-07-20T17:48:08,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540888.4923825
0,VllmPrefillWorker,,2026-07-20T17:48:08,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540888.4923854
0,VllmPrefillWorker,,2026-07-20T17:48:08,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540888.4923873
0,VllmDecodeWorker,,2026-07-20T17:48:14,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540894.3065164
0,VllmDecodeWorker,,2026-07-20T17:48:14,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540894.3065312
0,VllmPrefillWorker,,2026-07-20T17:48:14,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540894.3065338
0,VllmPrefillWorker,,2026-07-20T17:48:14,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540894.3065362
0,VllmDecodeWorker,,2026-07-20T17:48:20,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540900.5731044
0,VllmDecodeWorker,,2026-07-20T17:48:20,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540900.5731182
0,VllmPrefillWorker,,2026-07-20T17:48:20,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540900.5731213
0,VllmPrefillWorker,,2026-07-20T17:48:20,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540900.5731242
0,VllmDecodeWorker,,2026-07-20T17:48:26,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540906.6252828
0,VllmDecodeWorker,,2026-07-20T17:48:26,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540906.6252966
0,VllmPrefillWorker,,2026-07-20T17:48:26,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540906.6252995
0,VllmPrefillWorker,,2026-07-20T17:48:26,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540906.6253018
0,VllmDecodeWorker,,2026-07-20T17:48:33,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540913.6248147
0,VllmDecodeWorker,,2026-07-20T17:48:33,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540913.6248298
0,VllmPrefillWorker,,2026-07-20T17:48:33,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540913.6248329
0,VllmPrefillWorker,,2026-07-20T17:48:33,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540913.6248345
0,VllmDecodeWorker,,2026-07-20T17:48:43,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540923.6418366
0,VllmDecodeWorker,,2026-07-20T17:48:43,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540923.641851
0,VllmPrefillWorker,,2026-07-20T17:48:43,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540923.641854
0,VllmPrefillWorker,,2026-07-20T17:48:43,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540923.6418557
0,VllmDecodeWorker,,2026-07-20T17:48:53,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540933.6735897
0,VllmDecodeWorker,,2026-07-20T17:48:53,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540933.673603
0,VllmPrefillWorker,,2026-07-20T17:48:53,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540933.673606
0,VllmPrefillWorker,,2026-07-20T17:48:53,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540933.6736076
0,VllmDecodeWorker,,2026-07-20T17:49:00,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540940.9589293
0,VllmDecodeWorker,,2026-07-20T17:49:00,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540940.958944
0,VllmPrefillWorker,,2026-07-20T17:49:00,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540940.9589467
0,VllmPrefillWorker,,2026-07-20T17:49:00,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540940.9589489
0,VllmDecodeWorker,,2026-07-20T17:49:08,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540948.449434
0,VllmDecodeWorker,,2026-07-20T17:49:08,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540948.4494486
0,VllmPrefillWorker,,2026-07-20T17:49:08,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540948.4494517
0,VllmPrefillWorker,,2026-07-20T17:49:08,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540948.4494545
0,VllmDecodeWorker,,2026-07-20T17:49:15,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540955.3570554
0,VllmDecodeWorker,,2026-07-20T17:49:15,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540955.3570707
0,VllmPrefillWorker,,2026-07-20T17:49:15,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540955.357074
0,VllmPrefillWorker,,2026-07-20T17:49:15,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540955.357076
0,VllmDecodeWorker,,2026-07-20T17:49:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540962.2434938
0,VllmDecodeWorker,,2026-07-20T17:49:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540962.2435083
0,VllmPrefillWorker,,2026-07-20T17:49:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540962.2435107
0,VllmPrefillWorker,,2026-07-20T17:49:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540962.2435129
0,VllmDecodeWorker,,2026-07-20T17:49:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540968.1995573
0,VllmDecodeWorker,,2026-07-20T17:49:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540968.1995766
0,VllmPrefillWorker,,2026-07-20T17:49:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540968.1995819
0,VllmPrefillWorker,,2026-07-20T17:49:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540968.1995857
0,VllmDecodeWorker,,2026-07-20T17:49:33,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540973.9435465
0,VllmDecodeWorker,,2026-07-20T17:49:33,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540973.9435618
0,VllmPrefillWorker,,2026-07-20T17:49:33,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540973.9435647
0,VllmPrefillWorker,,2026-07-20T17:49:33,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540973.9435663
0,VllmDecodeWorker,,2026-07-20T17:49:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540980.1458895
0,VllmDecodeWorker,,2026-07-20T17:49:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540980.1459038
0,VllmPrefillWorker,,2026-07-20T17:49:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540980.1459067
0,VllmPrefillWorker,,2026-07-20T17:49:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540980.1459086
0,VllmDecodeWorker,,2026-07-20T17:49:46,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540986.1825874
0,VllmDecodeWorker,,2026-07-20T17:49:46,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540986.1826017
0,VllmPrefillWorker,,2026-07-20T17:49:46,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540986.1826043
0,VllmPrefillWorker,,2026-07-20T17:49:46,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540986.1826067
0,VllmDecodeWorker,,2026-07-20T17:49:52,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fd97tx,Running,10.244.0.206,False,0,0,2,2,4,1784540992.1756687
0,VllmDecodeWorker,,2026-07-20T17:49:52,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fv4hvr,Running,10.244.0.205,False,0,0,2,2,4,1784540992.1756837
0,VllmPrefillWorker,,2026-07-20T17:49:52,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485789dh9b,Running,10.244.0.204,False,0,0,2,2,4,1784540992.1756864
0,VllmPrefillWorker,,2026-07-20T17:49:52,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578vv24n,Running,10.244.0.203,False,0,0,2,2,4,1784540992.1756883
