allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
2,VllmDecodeWorker,,2026-07-20T18:04:10,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f95jgz,Running,10.244.0.214,True,1,1,2,2,4,1784541850.1844976
2,VllmDecodeWorker,,2026-07-20T18:04:10,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fhdr47,Running,10.244.0.217,False,1,1,2,2,4,1784541850.1845129
2,VllmPrefillWorker,,2026-07-20T18:04:10,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l6wvs,Running,10.244.0.213,True,1,1,2,2,4,1784541850.1845155
2,VllmPrefillWorker,,2026-07-20T18:04:10,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578wnsxm,Running,10.244.0.216,False,1,1,2,2,4,1784541850.1845174
2,VllmDecodeWorker,,2026-07-20T18:04:16,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f95jgz,Running,10.244.0.214,True,1,1,2,2,4,1784541856.1993248
2,VllmDecodeWorker,,2026-07-20T18:04:16,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fhdr47,Running,10.244.0.217,False,1,1,2,2,4,1784541856.1993475
2,VllmPrefillWorker,,2026-07-20T18:04:16,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l6wvs,Running,10.244.0.213,True,1,1,2,2,4,1784541856.1993537
2,VllmPrefillWorker,,2026-07-20T18:04:16,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578wnsxm,Running,10.244.0.216,False,1,1,2,2,4,1784541856.199358
2,VllmDecodeWorker,,2026-07-20T18:04:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f95jgz,Running,10.244.0.214,True,1,1,2,2,4,1784541862.2767158
2,VllmDecodeWorker,,2026-07-20T18:04:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fhdr47,Running,10.244.0.217,False,1,1,2,2,4,1784541862.2767305
2,VllmPrefillWorker,,2026-07-20T18:04:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l6wvs,Running,10.244.0.213,True,1,1,2,2,4,1784541862.2767336
2,VllmPrefillWorker,,2026-07-20T18:04:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578wnsxm,Running,10.244.0.216,False,1,1,2,2,4,1784541862.276737
2,VllmDecodeWorker,,2026-07-20T18:04:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f95jgz,Running,10.244.0.214,True,1,1,2,2,4,1784541868.692043
2,VllmDecodeWorker,,2026-07-20T18:04:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fhdr47,Running,10.244.0.217,False,1,1,2,2,4,1784541868.6920588
2,VllmPrefillWorker,,2026-07-20T18:04:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l6wvs,Running,10.244.0.213,True,1,1,2,2,4,1784541868.692062
2,VllmPrefillWorker,,2026-07-20T18:04:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578wnsxm,Running,10.244.0.216,False,1,1,2,2,4,1784541868.692064
2,VllmDecodeWorker,,2026-07-20T18:04:36,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f95jgz,Running,10.244.0.214,True,1,1,2,2,4,1784541876.6106892
2,VllmDecodeWorker,,2026-07-20T18:04:36,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fhdr47,Running,10.244.0.217,False,1,1,2,2,4,1784541876.6107042
