allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
0,VllmDecodeWorker,,2026-07-20T23:08:08,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560088.8599963
0,VllmDecodeWorker,,2026-07-20T23:08:08,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560088.860011
0,VllmPrefillWorker,,2026-07-20T23:08:08,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560088.8600135
0,VllmPrefillWorker,,2026-07-20T23:08:08,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560088.8600159
0,VllmDecodeWorker,,2026-07-20T23:08:15,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560095.3911028
0,VllmDecodeWorker,,2026-07-20T23:08:15,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560095.3911169
0,VllmPrefillWorker,,2026-07-20T23:08:15,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560095.3911214
0,VllmPrefillWorker,,2026-07-20T23:08:15,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560095.3911245
0,VllmDecodeWorker,,2026-07-20T23:08:21,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560101.68587
0,VllmDecodeWorker,,2026-07-20T23:08:21,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560101.685884
0,VllmPrefillWorker,,2026-07-20T23:08:21,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560101.6858888
0,VllmPrefillWorker,,2026-07-20T23:08:21,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560101.6858914
0,VllmDecodeWorker,,2026-07-20T23:08:27,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560107.6662984
0,VllmDecodeWorker,,2026-07-20T23:08:27,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560107.6663122
0,VllmPrefillWorker,,2026-07-20T23:08:27,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560107.6663153
0,VllmPrefillWorker,,2026-07-20T23:08:27,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560107.6663172
0,VllmDecodeWorker,,2026-07-20T23:08:35,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560115.7150831
0,VllmDecodeWorker,,2026-07-20T23:08:35,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560115.7150984
0,VllmPrefillWorker,,2026-07-20T23:08:35,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560115.7151012
0,VllmPrefillWorker,,2026-07-20T23:08:35,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560115.7151031
0,VllmDecodeWorker,,2026-07-20T23:08:47,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560127.4490676
0,VllmDecodeWorker,,2026-07-20T23:08:47,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560127.4490805
0,VllmPrefillWorker,,2026-07-20T23:08:47,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560127.4490836
0,VllmPrefillWorker,,2026-07-20T23:08:47,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560127.4490857
0,VllmDecodeWorker,,2026-07-20T23:08:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560136.378859
0,VllmDecodeWorker,,2026-07-20T23:08:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560136.378885
0,VllmPrefillWorker,,2026-07-20T23:08:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560136.378888
0,VllmPrefillWorker,,2026-07-20T23:08:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560136.37889
0,VllmDecodeWorker,,2026-07-20T23:09:04,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560144.114441
0,VllmDecodeWorker,,2026-07-20T23:09:04,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560144.1144555
0,VllmPrefillWorker,,2026-07-20T23:09:04,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560144.114459
0,VllmPrefillWorker,,2026-07-20T23:09:04,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560144.1144614
0,VllmDecodeWorker,,2026-07-20T23:09:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560151.4462898
0,VllmDecodeWorker,,2026-07-20T23:09:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560151.446305
0,VllmPrefillWorker,,2026-07-20T23:09:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785thm6,Running,10.244.0.2,False,0,0,2,2,4,1784560151.446308
0,VllmPrefillWorker,,2026-07-20T23:09:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578rz766,Running,10.244.0.254,False,0,0,2,2,4,1784560151.4463096
0,VllmDecodeWorker,,2026-07-20T23:09:18,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f6md72,Running,10.244.0.4,False,0,0,2,2,4,1784560158.5116708
0,VllmDecodeWorker,,2026-07-20T23:09:18,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599flt7mb,Running,10.244.0.3,False,0,0,2,2,4,1784560158.5116856
