completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,292,8d5a9bace53593c8333e3ee68746c97f529a6adaa2068387cacca5e79aef49a4,1784560296.3448215,,length,200,22.122539281845093,1,64,1217,True,A_prefill,4260,A_prefill,1784560274.2222822,4324,True
96,436,3b555e27ad2dd695c7e5d30bc3c41610697a1395f8c4de5912fe8426b00486fb,1784560288.9924843,,length,200,14.76974105834961,2,96,1243,True,A_prefill,4339,A_prefill,1784560274.2227433,4435,True
128,622,c65b001c9591b8a4643506f246d57d6226b89b69f2d0c6b0a06bae86a8836bf4,1784560289.2941434,,length,200,15.070818662643433,3,128,1236,True,A_prefill,4320,A_prefill,1784560274.2233248,4448,True
128,606,92e47d75d3d7c95f1e44bc15d2eeb0879235dbc738d7e5e1c49c0d68ae6b8411,1784560289.5969884,,length,200,15.373040199279785,4,128,1083,True,A_prefill,3777,A_prefill,1784560274.2239482,3905,True
64,286,73dad864da6b5becb3d354af795cec686c59d30da0deb262b08d6a5b18a8e630,1784560288.9937882,,length,200,14.769426822662354,5,64,1228,True,A_prefill,4297,A_prefill,1784560274.2243614,4361,True
96,442,6a9b498a14def8e3b91856503776c4020ee6219917eb10e63d3d747b4b778de0,1784560301.5307977,,length,200,27.30585217475891,6,96,1137,True,A_prefill,3996,A_prefill,1784560274.2249455,4092,True
128,606,92e47d75d3d7c95f1e44bc15d2eeb0879235dbc738d7e5e1c49c0d68ae6b8411,1784560289.2941916,,length,200,15.068477869033813,7,128,1116,True,A_prefill,3915,A_prefill,1784560274.2257137,4043,True
128,603,2b111876eb9b221171cf9d7070211aed4887b2fc5b55e143fdb0c90d47ace3f3,1784560289.59691,,length,200,15.370427370071411,8,128,1069,True,A_prefill,3737,A_prefill,1784560274.2264826,3865,True
64,284,7601329de23887ef7dee9bc8f84a99fd6d4ed13e77c15ee12c707ca68ec6336a,1784560288.9919276,,length,200,14.765007257461548,9,64,1275,True,A_prefill,4444,A_prefill,1784560274.2269204,4508,True
64,295,817540f5385eecfc439dde513e3f53c8a7a1968d038124152417cb4ae521e7e9,1784560288.6900735,,length,200,14.462712287902832,10,64,1256,True,A_prefill,4387,A_prefill,1784560274.2273612,4451,True
128,572,9a8ae38fe753504eec38b24d06b40821e96ef9141796e346033f884d72567659,1784560292.3680916,,length,200,18.140018463134766,11,128,1285,True,A_prefill,4489,A_prefill,1784560274.2280731,4617,True
96,438,cfc9681afd912325f578f341537d898ef03884facd4a456e33b8d2afcc2d40ee,1784560288.992543,,length,200,14.764055013656616,12,96,1243,True,A_prefill,4348,A_prefill,1784560274.228488,4444,True
64,279,400bc0de0b88ca60a2ebb29e8337ea6f31358ca79cc6becdd7dbfc178cadb7a1,1784560297.859345,,length,200,23.630454301834106,13,64,1170,True,A_prefill,4138,A_prefill,1784560274.2288907,4202,True
64,279,91afbee0d126698b48819f2290b8b94675da2d3f5a09a9e0dfd0441cec367da4,1784560288.9935672,,length,200,14.76425290107727,14,64,1130,True,A_prefill,3981,A_prefill,1784560274.2293143,4045,True
64,285,ef87229cbdc0213bcc8202932ac11d58f9be4089abbb43efb94a664b78ff007e,1784560288.9924235,,length,200,14.76264238357544,15,64,1073,True,A_prefill,3754,A_prefill,1784560274.2297812,3818,True
96,358,1aaacc2b87f91034cad248e2f29b51400fbdbe1dd58e641737728b4d86a639c4,1784560289.2942352,,length,200,15.064062595367432,16,96,1324,True,A_prefill,4649,A_prefill,1784560274.2301726,4745,True
96,438,cfc9681afd912325f578f341537d898ef03884facd4a456e33b8d2afcc2d40ee,1784560288.9936135,,length,200,14.762974262237549,17,96,1160,True,A_prefill,4104,A_prefill,1784560274.2306392,4200,True
64,287,cd4fcd500d6fdfc5b5becad703c0f05e63f32e94b86063fb75a0efe79347fba0,1784560288.690006,,length,200,14.458853960037231,18,64,1218,True,A_prefill,4273,A_prefill,1784560274.231152,4337,True
