scenario,run,phase,service_window_s,first_dispatch_from_T0_s,last_completion_from_T0_s,requests,valid,ttft_ms_p50,ttft_ms_p95,prefill_wait_time_ms_p50,decode_gpu_s,prefill_gpu_s,avg_decode_gpus,avg_prefill_gpus
baseline_1p1d,run-01,prefill_burst,95.91519570350647,1.8182997703552246,97.7334954738617,,,3083.7238660000003,54787.776508999996,19.186872,95.91519570350647,95.91519570350647,,
baseline_1p1d,run-01,decode_dense,68.48604822158813,44.999624490737915,113.48567271232605,,,995.4720689999999,12482.556067000001,6.809591,68.48604822158813,68.48604822158813,,
baseline_1p1d,run-01,decode_tail,79.23495054244995,57.11300253868103,136.34795308113098,,,68.815423,672.32103,8.017358,79.23495054244995,79.23495054244995,,
static_2p2d,run-01,prefill_burst,38.18305277824402,1.5281546115875244,39.71120738983154,,,1465.836226,2877.779569,22.863079000000003,76.36610555648804,76.36610555648804,,
static_2p2d,run-01,decode_dense,23.053860664367676,44.99966216087341,68.05352282524109,,,316.471567,514.1373639999999,6.804837,46.10772132873535,46.10772132873535,,
static_2p2d,run-01,decode_tail,37.34895372390747,45.01378536224365,82.36273908615112,,,69.332555,393.955788,10.120943,74.69790744781494,74.69790744781494,,
static_2p2d,run-02,prefill_burst,35.52651834487915,1.8181278705596924,37.34464621543884,,,1471.920911,2655.5361030000004,21.212993,71.0530366897583,71.0530366897583,,
static_2p2d,run-02,decode_dense,23.473799467086792,44.9998300075531,68.47362947463989,,,380.273639,598.487918,7.069861,46.947598934173584,46.947598934173584,,
static_2p2d,run-02,decode_tail,38.364824533462524,45.0042142868042,83.36903882026672,,,71.437899,437.283149,6.313364,76.72964906692505,76.72964906692505,,
s2_only,run-01,prefill_burst,53.86403822898865,1.8331298828125,55.69716811180115,,,1490.168042,2869.955235,30.811991,107.7280764579773,107.7280764579773,,
s2_only,run-01,decode_dense,27.593125343322754,44.99996733665466,72.59309267997742,,,258.319858,434.841932,6.8863900000000005,55.18625068664551,55.18625068664551,,
s2_only,run-01,decode_tail,39.868873596191406,45.00238609313965,84.87125968933105,,,66.985827,135.740535,7.973405,79.73774719238281,79.73774719238281,,
s2_only,run-02,prefill_burst,44.028382539749146,1.502589225769043,45.53097176551819,,,1421.311637,2628.4985880000004,25.253665,88.05676507949829,88.05676507949829,,
s2_only,run-02,decode_dense,22.91032600402832,44.999868631362915,67.91019463539124,,,290.011842,593.019171,7.021612,45.82065200805664,45.82065200805664,,
s2_only,run-02,decode_tail,33.01824355125427,48.00616097450256,81.02440452575684,,,60.600987,64.417008,7.02314,66.03648710250854,66.03648710250854,,
s3_only,run-01,prefill_burst,35.30763244628906,1.2187530994415283,36.52638554573059,,,1474.838888,2739.785445,25.075289,70.61526489257812,70.61526489257812,,
s3_only,run-01,decode_dense,23.389425039291382,44.99982452392578,68.38924956321716,,,437.114443,671.785912,7.141546,46.778850078582764,46.778850078582764,,
s3_only,run-01,decode_tail,39.506072759628296,45.00860643386841,84.5146791934967,,,69.885697,236.02294300000003,8.841651,69.75926494598389,79.01214551925659,,
s3_only,run-02,prefill_burst,36.337544202804565,1.8503460884094238,38.18789029121399,,,1454.9278700000002,2903.3265090000004,22.561981,72.67508840560913,72.67508840560913,,
s3_only,run-02,decode_dense,24.42067003250122,44.99990463256836,69.42057466506958,,,377.36346799999995,591.5232609999999,7.734197,48.84134006500244,48.84134006500244,,
s3_only,run-02,decode_tail,38.01218271255493,45.00586199760437,83.0180447101593,,,69.333263,430.929092,10.761849,68.59684610366821,75.11288809776306,,
mixed,run-01,prefill_burst,55.01577186584473,1.5096609592437744,56.5254328250885,,,1430.575416,2804.68502,33.376131,110.03154373168945,110.03154373168945,,
mixed,run-01,decode_dense,25.08469009399414,44.999940633773804,70.08463072776794,,,258.30484199999995,490.129824,6.376528,50.16938018798828,50.16938018798828,,
mixed,run-01,decode_tail,44.40895438194275,45.00341820716858,89.41237258911133,,,70.69740200000001,371.891411,7.176471,77.83517909049988,88.8179087638855,,
