allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
2,VllmDecodeWorker,,2026-07-23T08:57:36,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768256.6785986
2,VllmPrefillWorker,,2026-07-23T08:57:36,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Pending,,False,1,1,1,1,2,1784768256.6786182
2,VllmPrefillWorker,,2026-07-23T08:57:36,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768256.6786225
2,VllmDecodeWorker,,2026-07-23T08:57:42,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768262.924078
2,VllmDecodeWorker,,2026-07-23T08:57:42,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768262.9240925
2,VllmPrefillWorker,,2026-07-23T08:57:42,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768262.9240952
2,VllmPrefillWorker,,2026-07-23T08:57:42,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768262.9240973
2,VllmDecodeWorker,,2026-07-23T08:57:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768268.835847
2,VllmDecodeWorker,,2026-07-23T08:57:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768268.8358617
2,VllmPrefillWorker,,2026-07-23T08:57:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768268.8358645
2,VllmPrefillWorker,,2026-07-23T08:57:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768268.8358667
2,VllmDecodeWorker,,2026-07-23T08:57:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768275.1011817
2,VllmDecodeWorker,,2026-07-23T08:57:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768275.1011972
2,VllmPrefillWorker,,2026-07-23T08:57:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768275.1011999
2,VllmPrefillWorker,,2026-07-23T08:57:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768275.101202
2,VllmDecodeWorker,,2026-07-23T08:58:01,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768281.5891123
2,VllmDecodeWorker,,2026-07-23T08:58:01,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768281.5891364
2,VllmPrefillWorker,,2026-07-23T08:58:01,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768281.589143
2,VllmPrefillWorker,,2026-07-23T08:58:01,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768281.589148
2,VllmDecodeWorker,,2026-07-23T08:58:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768291.511199
2,VllmDecodeWorker,,2026-07-23T08:58:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768291.5112135
2,VllmPrefillWorker,,2026-07-23T08:58:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768291.5112174
2,VllmPrefillWorker,,2026-07-23T08:58:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768291.5112205
2,VllmDecodeWorker,,2026-07-23T08:58:21,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768301.924676
2,VllmDecodeWorker,,2026-07-23T08:58:21,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768301.92469
2,VllmPrefillWorker,,2026-07-23T08:58:21,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768301.9246924
2,VllmPrefillWorker,,2026-07-23T08:58:21,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768301.9246945
2,VllmDecodeWorker,,2026-07-23T08:58:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768308.8142092
2,VllmDecodeWorker,,2026-07-23T08:58:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768308.8142235
2,VllmPrefillWorker,,2026-07-23T08:58:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768308.8142266
2,VllmPrefillWorker,,2026-07-23T08:58:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768308.814229
2,VllmDecodeWorker,,2026-07-23T08:58:35,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768315.0212765
2,VllmDecodeWorker,,2026-07-23T08:58:35,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768315.0212917
2,VllmPrefillWorker,,2026-07-23T08:58:35,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768315.0212944
2,VllmPrefillWorker,,2026-07-23T08:58:35,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768315.021296
2,VllmDecodeWorker,,2026-07-23T08:58:41,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768321.5213556
2,VllmDecodeWorker,,2026-07-23T08:58:41,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768321.5213752
2,VllmPrefillWorker,,2026-07-23T08:58:41,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768321.521379
2,VllmPrefillWorker,,2026-07-23T08:58:41,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,True,1,1,1,1,2,1784768321.5213819
2,VllmDecodeWorker,,2026-07-23T08:58:47,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,True,1,1,1,1,2,1784768327.7111712
2,VllmDecodeWorker,,2026-07-23T08:58:47,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-854995448bjc85f,Running,10.244.0.172,False,1,1,1,1,2,1784768327.7111852
2,VllmPrefillWorker,,2026-07-23T08:58:47,vllm-v1-disagg-router-vllmprefillworker-41888dc2-78f664765s8qgz,Running,10.244.0.171,False,1,1,1,1,2,1784768327.7111883
