completion_tokens,completion_tps,env,event,http_5xx_count,iso,p50_latency_s,p95_latency_s,p99_latency_s,prompt_tokens,prompt_tps,req_s,requests,scenario,success,success_pct,timeout_count,total_tokens,total_tps,ts,valid_decode,valid_decode_pct,wall_s
,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '2.0', 'ROLE_SWITCH_ENABLED': 'false', 'CONSOLIDATION_ENABLED': 'false', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'false', 'RLS_TEST_RUN_ID': 'baseline_minimal-run-2-1784293757'}",controller_configured,,2026-07-17T21:09:33,,,,,,,,baseline_minimal,,,,,,1784293773.3176844,,,
,,,initial_1p1d_ready,,2026-07-17T21:12:02,,,,,,,,,,,,,,1784293922.8293276,,,
,,,baseline_static_1p1d_ready,,2026-07-17T21:12:14,,,,,,,,,,,,,,1784293934.4896662,,,
,,,T_burst_arrival,,2026-07-17T21:12:14,,,,,,,,baseline_minimal,,,,,,1784293934.4904027,,,
,,,prefill_burst_start,,2026-07-17T21:12:16,,,,,,,,,,,,,,1784293936.299908,,,
256,7.68445871498755,,prefill_burst_done,0,2026-07-17T21:12:49,6.160855054855347,6.565485954284668,6.86797571182251,94160,2826.4399711063584,1.9211146787468876,64,,64,100.0,0,94416,2834.124429821346,1784293969.618529,64,100.0,33.313992500305176
,,,balanced_decode_start,,2026-07-17T21:12:53,,,,,,,,,,,,,,1784293973.2402601,,,
2304,230.870977886961,,balanced_decode_done,0,2026-07-17T21:13:03,3.2536394596099854,3.4381306171417236,3.7383506298065186,18864,1890.256131449493,2.4049060196558436,24,,24,100.0,0,21168,2121.127109336454,1784293983.2254436,24,100.0,9.979599952697754
,,,decode_tail_start,,2026-07-17T21:13:06,,,,,,,,,,,,,,1784293986.944362,,,
24320,517.8580113179005,,decode_tail_done,0,2026-07-17T21:13:53,1.8909387588500977,37.95783567428589,38.96194767951965,5800,123.5023217781177,0.361989563832414,17,,17,100.0,0,30120,641.3603330960182,1784294033.911962,17,100.0,46.962679862976074
