allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
3,VllmDecodeWorker,,2026-07-17T20:57:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,1,2,0,0,0,1784293068.4717665
3,VllmPrefillWorker,,2026-07-17T20:57:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d9xhbj,Running,10.244.0.40,True,1,2,0,0,0,1784293068.4717896
3,VllmPrefillWorker,,2026-07-17T20:57:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,1,2,0,0,0,1784293068.471795
0,VllmDecodeWorker,,2026-07-17T20:58:07,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm,Pending,,False,0,0,0,1,1,1784293087.2290072
0,VllmPrefillWorker,,2026-07-17T20:58:07,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr,Running,10.244.0.47,False,0,0,0,1,1,1784293087.229034
0,VllmDecodeWorker,,2026-07-17T20:58:13,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm,Running,10.244.0.48,False,0,0,1,1,2,1784293093.1307082
0,VllmPrefillWorker,,2026-07-17T20:58:13,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr,Running,10.244.0.47,False,0,0,1,1,2,1784293093.1307304
0,VllmDecodeWorker,,2026-07-17T20:58:18,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm,Running,10.244.0.48,False,0,0,1,1,2,1784293098.6701646
0,VllmPrefillWorker,,2026-07-17T20:58:18,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr,Running,10.244.0.47,False,0,0,1,1,2,1784293098.6701896
0,VllmDecodeWorker,,2026-07-17T20:58:24,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm,Running,10.244.0.48,False,0,0,1,1,2,1784293104.7396615
0,VllmPrefillWorker,,2026-07-17T20:58:24,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr,Running,10.244.0.47,False,0,0,1,1,2,1784293104.7396848
0,VllmDecodeWorker,,2026-07-17T20:58:32,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm,Running,10.244.0.48,False,0,0,1,1,2,1784293112.1113374
0,VllmPrefillWorker,,2026-07-17T20:58:32,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr,Running,10.244.0.47,False,0,0,1,1,2,1784293112.1113548
0,VllmDecodeWorker,,2026-07-17T20:58:41,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm,Running,10.244.0.48,False,0,0,1,1,2,1784293121.0136578
0,VllmPrefillWorker,,2026-07-17T20:58:41,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr,Running,10.244.0.47,False,0,0,1,1,2,1784293121.0136786
0,VllmDecodeWorker,,2026-07-17T20:58:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm,Running,10.244.0.48,False,0,0,1,1,2,1784293128.0284572
0,VllmPrefillWorker,,2026-07-17T20:58:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr,Running,10.244.0.47,False,0,0,1,1,2,1784293128.0284748
