active_worker_count,client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,long_decode_probe_max_tokens,min_delay_s,min_generated_tokens,min_remaining_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot,snapshot_file,straggler,success,success_pct,timeout_count,total_active,total_tokens,total_tps,trigger,ts,valid_decode,valid_decode_pct,wall_s
,,,,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '0.80', 'ROLE_SWITCH_ENABLED': 'true', 'CONSOLIDATION_ENABLED': 'true', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'true', 'PREFILL_QUEUE_THRESHOLD': '1', 'DECODE_QUEUE_THRESHOLD': '2', 'DECODE_IDLE_THRESHOLD': '0.30', 'PREFILL_IDLE_THRESHOLD': '0.30', 'MIN_SWITCH_INTERVAL': '60', 'ROLE_SWITCH_VERIFY_TIMEOUT': '60', 'ROLE_SWITCH_VERIFY_POLL_INTERVAL': '1', 'CONSOLIDATION_THRESHOLD': '1', 'CONSOLIDATION_STABLE_SAMPLES': '1', 'CONSOLIDATION_MIN_INTERVAL': '4', 'MIN_BATCH_COMPLETION': '0.92', 'PER_REQUEST_MIGRATION_OVERHEAD': '0.10', 'RLS_TEST_RUN_ID': 'mixed_strategy-run-2-1784295515'}",controller_configured,,,2026-07-17T21:38:51,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784295531.0388894,,,
,,,,,,initial_1p1d_ready,,,2026-07-17T21:41:19,,,,,,,,,,,,,,,,,,,,,,,,,,1784295679.514586,,,
,1784295691.9372067,,,,,T_signal_recv,,,2026-07-17T21:41:33,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'warm_up'}",mixed_strategy,,,,,,,,,,,1784295693.715278,,,
,,,,,,T_warmup_start,,,2026-07-17T21:41:33,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784295693.7169995,,,
,,,,,,warmup_forcing_topology,"{'prefill': 1, 'decode': 1}",,2026-07-17T21:43:06,,,,,controller did not pre-warm to 2P2D; forcing via deployment scaler,,,,,,,,,,,,,,,,,,,,,1784295786.9653468,,,
,,,,2,,T_ready,,,2026-07-17T21:44:45,,,,,,,,,2,,,,,,mixed_strategy,,,,,,,,,,,1784295885.143036,,,
,,,,,,T_burst_arrival,,,2026-07-17T21:44:45,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784295885.1451352,,,
,,,,,,prefill_pressure_signal,,,2026-07-17T21:44:46,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,,,,,,,,,,1784295886.6802633,,,
,,,,,,runtime_role_gate_after_d_to_p,,,2026-07-17T21:45:16,,,,,,,,,,,,,,,,"{'ts': 1784295886.6808696, 'iso': '2026-07-17T21:44:46', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-n9zs4', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.71', 'current_role_label': 'prefill', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-tq8q7', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.74', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dcsqmp', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.70', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dx5jrv', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.72', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 3, 'decode': 1, 'unknown': 0}}",,,,,,,,,,1784295916.8662567,,,
,,,,,,prefill_burst_start,,,2026-07-17T21:45:18,,,,,,,,,,,,,,,,,,,,,,,,,,1784295918.628544,,,
,,256,13.804437501882656,,,prefill_burst_done,,0,2026-07-17T21:45:37,,,,,,3.173301935195923,4.9995198249816895,5.0988569259643555,,94096,5073.993559285744,3.451109375470664,64,,,,,,64,100.0,0,,94352,5087.797996787626,,1784295937.178703,64,100.0,18.544761419296265
,,,,,,decode_pressure_signal,,,2026-07-17T21:45:40,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,,,,,,,,,,1784295940.2273123,,,
,,,,,,runtime_role_gate_before_p_to_d,,,2026-07-17T21:46:11,,,,,,,,,,,,,,,,"{'ts': 1784295940.229265, 'iso': '2026-07-17T21:45:40', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-n9zs4', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.71', 'current_role_label': 'decode', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-tq8q7', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.74', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dcsqmp', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.70', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dx5jrv', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.72', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 2, 'decode': 2, 'unknown': 0}}",,,,,,,,,,1784295971.7813613,,,
,,,,,,decode_readiness_after_switch,,,2026-07-17T21:46:18,48,,,,,,,,,,,,,,,,,,,,,,,,,1784295978.939885,,,
