active_worker_count,client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,min_delay_s,min_generated_tokens,min_remaining_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot_file,straggler,success,success_pct,timeout_count,total_active,total_tokens,total_tps,trigger,ts,valid_decode,valid_decode_pct,wall_s
,,,,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '0.80', 'ROLE_SWITCH_ENABLED': 'false', 'CONSOLIDATION_ENABLED': 'true', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'true', 'CONSOLIDATION_THRESHOLD': '1', 'CONSOLIDATION_STABLE_SAMPLES': '1', 'CONSOLIDATION_MIN_INTERVAL': '4', 'MIN_BATCH_COMPLETION': '0.92', 'PER_REQUEST_MIGRATION_OVERHEAD': '0.10', 'RLS_TEST_RUN_ID': 's3_only-run-1-1784292628'}",controller_configured,,,2026-07-17T20:50:44,,,,,,,,,,,,,,s3_only,,,,,,,,,,1784292644.2071881,,,
,,,,,,initial_1p1d_ready,,,2026-07-17T20:50:57,,,,,,,,,,,,,,,,,,,,,,,,1784292657.7460487,,,
,1784292669.1745155,,,,,T_signal_recv,,,2026-07-17T20:51:11,,,,,,,,,,,,,"{'status': 'ok', 'state': 'warm_up'}",s3_only,,,,,,,,,,1784292671.010096,,,
,,,,,,T_warmup_start,,,2026-07-17T20:51:11,,,,,,,,,,,,,,s3_only,,,,,,,,,,1784292671.010723,,,
,,,,,,warmup_forcing_topology,"{'prefill': 1, 'decode': 1}",,2026-07-17T20:52:41,,,,controller did not pre-warm to 2P2D; forcing via deployment scaler,,,,,,,,,,,,,,,,,,,,1784292761.0766559,,,
,,,,2,,T_ready,,,2026-07-17T20:54:29,,,,,,,,2,,,,,,s3_only,,,,,,,,,,1784292869.6918979,,,
,,,,,,T_burst_arrival,,,2026-07-17T20:54:29,,,,,,,,,,,,,,s3_only,,,,,,,,,,1784292869.6942024,,,
,,,,,,prefill_burst_start,,,2026-07-17T20:54:31,,,,,,,,,,,,,,,,,,,,,,,,1784292871.2503185,,,
,,256,13.158956527672794,,,prefill_burst_done,,0,2026-07-17T20:54:50,,,,,3.167405843734741,5.36051607131958,5.792154312133789,,94160,4840.028697834649,3.2897391319181986,64,,,,,64,100.0,0,,94416,4853.187654362323,,1784292890.7100105,64,100.0,19.454430103302002
,,,,,,balanced_decode_start,,,2026-07-17T20:54:53,,,,,,,,,,,,,,,,,,,,,,,,1784292893.573118,,,
,,2304,294.9043052007768,,,balanced_decode_done,,0,2026-07-17T20:55:01,,,,,2.297222852706909,3.0519187450408936,3.052285671234131,,18864,2414.52899883136,3.0719198458414247,24,,,,,24,100.0,0,,21168,2709.4333040321367,,1784292901.3895159,24,100.0,7.812703847885132
,,,,,,tail_active_window_poll_start,,,2026-07-17T20:55:03,4.0,8,24,continuously poll /v1/active_requests for the whole tail phase; signal consolidation when a token-progress-qualified straggler exists,,,,,,,,,,,,,,,,,,,,1784292903.3019824,,,
,,,,,,decode_tail_start,,,2026-07-17T20:55:04,,,,,,,,,,,,,,,,,,,,,,,,1784292904.8278275,,,
2,,,,,,tail_consolidation_signal,,,2026-07-17T20:55:23,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,reports\interleaved-5scenario-20260717-202840\s3_only\run-01\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp', 'generated_tokens': 2570, 'remaining_tokens': 5430}",,,,2,,,token_progress_straggler,1784292923.957388,,,
1,,,,,,tail_consolidation_signal,,,2026-07-17T20:55:49,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,reports\interleaved-5scenario-20260717-202840\s3_only\run-01\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp', 'generated_tokens': 4807, 'remaining_tokens': 3193}",,,,2,,,token_progress_straggler,1784292949.5847626,,,
,,21057,442.39058258487955,,,decode_tail_done,,0,2026-07-17T20:55:52,,,,,1.4847533702850342,32.369709491729736,39.59679079055786,,5800,121.85332093803967,0.35715628550804734,17,,,,,17,100.0,0,,26857,564.2439035229193,,1784292952.430537,17,100.0,47.59821033477783
,,,,,,batch_complete_signal,,,2026-07-17T20:57:20,,,,,,,,,,,,,"{'status': 'ok', 'state': 'cool_down'}",,,,,,,,,,,1784293040.2137592,,,
