allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
4,VllmDecodeWorker,decode,2026-07-17T20:50:33,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-6rrrt,Running,10.244.0.37,True,2,2,2,2,4,1784292633.7938485
4,VllmDecodeWorker,,2026-07-17T20:50:33,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,2,4,1784292633.7938638
4,VllmPrefillWorker,,2026-07-17T20:50:33,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d9cwzl,Running,10.244.0.36,True,2,2,2,2,4,1784292633.7938676
4,VllmPrefillWorker,,2026-07-17T20:50:33,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,2,2,4,1784292633.7938697
4,VllmDecodeWorker,decode,2026-07-17T20:50:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-6rrrt,Running,10.244.0.37,True,2,2,2,2,4,1784292640.0353372
4,VllmDecodeWorker,,2026-07-17T20:50:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,2,4,1784292640.0353644
4,VllmPrefillWorker,,2026-07-17T20:50:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d9cwzl,Running,10.244.0.36,True,2,2,2,2,4,1784292640.0353718
4,VllmPrefillWorker,,2026-07-17T20:50:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,2,2,4,1784292640.0353777
4,VllmDecodeWorker,decode,2026-07-17T20:50:46,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-6rrrt,Running,10.244.0.37,True,2,2,2,2,4,1784292646.3853958
4,VllmDecodeWorker,,2026-07-17T20:50:46,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,2,4,1784292646.385418
4,VllmPrefillWorker,,2026-07-17T20:50:46,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d9cwzl,Running,10.244.0.36,True,2,2,2,2,4,1784292646.3854244
4,VllmPrefillWorker,,2026-07-17T20:50:46,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,2,2,4,1784292646.385429
4,VllmDecodeWorker,decode,2026-07-17T20:50:52,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-6rrrt,Running,10.244.0.37,True,2,2,2,1,3,1784292652.4194112
4,VllmDecodeWorker,,2026-07-17T20:50:52,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,1,3,1784292652.419436
