completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,218,6382cd1015c0a88ca557c0fcf4e6d4b8d6fddf3775e34a1b23e259d72f877985,1784537701.9716783,,length,200,15.914783239364624,1,64,1217,True,A_prefill,4260,A_prefill,1784537686.056895,4324,True
96,446,c53653d3b457b1bee076701803c4db3b91d733a517f2b70e94022d920cfc21b6,1784537702.204856,,length,200,16.147589683532715,2,96,1243,True,A_prefill,4339,A_prefill,1784537686.0572662,4435,True
128,589,fd561740ed3ff85b69d68e0275c10eff94b1fbfa963a9bd5185ba30c870570a3,1784537702.3283627,,length,200,16.268738746643066,3,128,1236,True,A_prefill,4320,A_prefill,1784537686.059624,4448,True
128,567,d291c61691714887c82879aebf0fe7f194ce5ab68a24459d59baf8a014aaf8ed,1784537702.3284311,,length,200,16.270472526550293,4,128,1083,True,A_prefill,3777,A_prefill,1784537686.0579586,3905,True
64,282,ad11624e349fe799c861e0a9bfd9d40d820761aaa43a2b06b654d639ec3611ac,1784537701.9718,,length,200,15.913599014282227,5,64,1228,True,A_prefill,4297,A_prefill,1784537686.058201,4361,True
96,439,95f931edbf5191c44a11316b8117a0bc005e73abb74b95a24c70c7edd457574c,1784537702.167991,,length,200,16.109350442886353,6,96,1137,True,A_prefill,3996,A_prefill,1784537686.0586405,4092,True
128,597,9ce0ce90c8b821e8f0b1d07698e4a85c2e13eef6200cdcbace8a6168f4451245,1784537702.3669248,,length,200,16.309308290481567,7,128,1116,True,A_prefill,3915,A_prefill,1784537686.0576165,4043,True
128,504,54920aba429031b9ff7e551552d49d8bbdf58a857e4b39d5875b3797d57ae137,1784537702.3668416,,length,200,16.30692172050476,8,128,1069,True,A_prefill,3737,A_prefill,1784537686.0599198,3865,True
64,277,5813ca644eec957000c693367922b50d66bd58ef8ff4992ccb50e09e7e97866d,1784537702.0024025,,length,200,15.941592931747437,9,64,1275,True,A_prefill,4444,A_prefill,1784537686.0608096,4508,True
64,218,6382cd1015c0a88ca557c0fcf4e6d4b8d6fddf3775e34a1b23e259d72f877985,1784537733.0259778,,length,200,46.96395921707153,10,64,1256,True,A_prefill,4387,A_prefill,1784537686.0620186,4451,True
128,599,332588e4017878f10c31635c4dfad65ae69494f99f45a6c99afbbc86e1bc93f2,1784537707.832443,,length,200,21.76987385749817,11,128,1285,True,A_prefill,4489,A_prefill,1784537686.0625691,4617,True
96,361,ca53d836a4d89d3028cd27301c08229a6857ead345909ed965fcb0bc005c3737,1784537707.760594,,length,200,21.697469472885132,12,96,1243,True,A_prefill,4348,A_prefill,1784537686.0631244,4444,True
64,294,490c1df1a6be6924787179a4b1ba57ca73ec77a0f014889e3e876d3c9a46edd4,1784537701.9719026,,length,200,15.90822958946228,13,64,1170,True,A_prefill,4138,A_prefill,1784537686.063673,4202,True
64,281,f98c136450e61479419bbb643c11a803a4bb90359f0d8af60162c83720a5c62d,1784537707.5659747,,length,200,21.501806020736694,14,64,1130,True,A_prefill,3981,A_prefill,1784537686.0641687,4045,True
64,285,ef87229cbdc0213bcc8202932ac11d58f9be4089abbb43efb94a664b78ff007e,1784537732.907465,,length,200,46.84247827529907,15,64,1073,True,A_prefill,3754,A_prefill,1784537686.0649867,3818,True
96,369,49c76a1a61f2e59716b6eca1ebdf53f0508b878a6b9cacc2c83fe99de2a5cc64,1784537733.3199167,,length,200,47.254417419433594,16,96,1324,True,A_prefill,4649,A_prefill,1784537686.0654993,4745,True
96,458,787de85ba5d04b94b70d66142423e0a71cdef1a3f9d53b68b61413ac87793acd,1784537707.6503096,,length,200,21.5843563079834,17,96,1160,True,A_prefill,4104,A_prefill,1784537686.0659533,4200,True
64,295,534a83aebb939afa396499bef693ef19827245f32474a744d49a954fe9ba002a,1784537732.9076273,,length,200,46.84128665924072,18,64,1218,True,A_prefill,4273,A_prefill,1784537686.0663407,4337,True
96,373,0391c35b4b7ac09ed0695cb1ef1e75a42f50e24ded125070e8ed42e351b53a52,1784537733.2986608,,length,200,47.231881618499756,19,96,1335,True,A_prefill,4696,A_prefill,1784537686.0667791,4792,True
128,607,5a516bca0e85e6a0cd3eed46593b2e1155911be8a6714ad0e1637c3eb4cc5a49,1784537733.7015467,,length,200,47.63430881500244,20,128,1260,True,A_prefill,4400,A_prefill,1784537686.0672379,4528,True
128,497,765201dad8cd2bea4c2f1b9b4a26c80ad4b8dcc0b8a32e39081f731d9775a5e7,1784537733.9457781,,length,200,47.87813186645508,21,128,1311,True,A_prefill,4603,A_prefill,1784537686.0676463,4731,True
128,613,7b59aae9b0398ad5040324238615f04e2d4c2ac489c3d9da68b4c68544aafa32,1784537733.6545413,,length,200,47.58645820617676,22,128,1088,True,A_prefill,3822,A_prefill,1784537686.068083,3950,True
64,307,07794c5e0568b412f0efb22aa3be6f0963c7e2af21aa6c6ce0c6aea6dbeecfc3,1784537732.9011965,,length,200,46.832576274871826,23,64,1111,True,A_prefill,3914,A_prefill,1784537686.0686202,3978,True
96,474,f6370d9c98d829116be1a6fea85637add38d761127eb387182cf4cf7a149d9aa,1784537733.3086624,,length,200,47.23955154418945,24,96,1126,True,A_prefill,3975,A_prefill,1784537686.0691109,4071,True
64,288,89aa1f306d8b47ba70c6fe5d1b0f8d1befd8496be2d92a543f4fa2bd61803bdc,1784537732.9075317,,length,200,46.83797788619995,25,64,1328,True,A_prefill,4674,A_prefill,1784537686.0695539,4738,True
64,300,1e1447f0d1866b339054a1de3a7662cbf0f2e3b74312ee3549be19acf15b1450,1784537732.9073935,,length,200,46.8374547958374,26,64,1349,True,A_prefill,4759,A_prefill,1784537686.0699387,4823,True
