completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,302,a0b5c403b3f1d6a2369b02e9ef27944b95bbcff9d87fb3f90da8a666e3955818,1784540208.253526,,length,200,28.200594902038574,1,64,1217,True,A_prefill,4255,A_prefill,1784540180.052931,4319,True
96,437,b20804b87405c74a7b2f4405b969c79a7f11e4c056f609451199cc777f5ef760,1784540208.6164892,,length,200,28.56298804283142,2,96,1243,True,A_prefill,4334,A_prefill,1784540180.0535011,4430,True
128,542,be4d14f205cac13ff6994cba6a1e4b917e3d476f974823e9257be0b7605f20ae,1784540208.9316485,,length,200,28.87839913368225,3,128,1236,True,A_prefill,4315,A_prefill,1784540180.0532494,4443,True
128,575,d85e1805abaa1bf3b718653363afd7ee7ac913acfe8724c75b6febac8171597e,1784540208.9325056,,length,200,28.87861394882202,4,128,1083,True,A_prefill,3772,A_prefill,1784540180.0538917,3900,True
64,251,8345c25ee21e1a319d40a43617acff309f6f3448e8afed9be7123c79a79730f9,1784540207.975638,,length,200,27.921093940734863,5,64,1228,True,A_prefill,4292,A_prefill,1784540180.054544,4356,True
96,367,5ba16212ea430bc6d8499b5a41d4746221d64490a02699cb42a6185c90ee35ea,1784540208.6153536,,length,200,28.560272693634033,6,96,1137,True,A_prefill,3991,A_prefill,1784540180.055081,4087,True
128,583,68a3bdbbd43236c781cc4cdc684836cbb84e896e992285c841d681cac086e68b,1784540208.932383,,length,200,28.876868963241577,7,128,1116,True,A_prefill,3910,A_prefill,1784540180.055514,4038,True
128,539,60c74c7db0e5831fc4a330396e5e89597bfe5fb18d0cbda204ea5fda756d189a,1784540208.9372377,,length,200,28.881274938583374,8,128,1069,True,A_prefill,3732,A_prefill,1784540180.0559628,3860,True
64,247,965a6c504b4b284c7c1231a23ed3df93392c474256b33d0e8311063bc3cf4026,1784540207.9787424,,length,200,27.922295093536377,9,64,1275,True,A_prefill,4439,A_prefill,1784540180.0564473,4503,True
64,296,050cd8d5d1abfc55d724e2361274c41a9284462fa9d8e63b2e6368d37078a278,1784540207.9789941,,length,200,27.922125339508057,10,64,1256,True,A_prefill,4382,A_prefill,1784540180.0568688,4446,True
128,585,79cfc093ccdeef7d4c4457ccdc43b050ecb86d994236d3654aaab17cf5646b0f,1784540208.9326773,,length,200,28.875248670578003,11,128,1285,True,A_prefill,4484,A_prefill,1784540180.0574286,4612,True
96,438,a70f2d2e8bba1b1bc74b0db973725609ff6ceafd1871cb17a73d623f67d9d6a7,1784540208.6156392,,length,200,28.55780601501465,12,96,1243,True,A_prefill,4343,A_prefill,1784540180.0578332,4439,True
64,294,287b881c5b157a7d7527d39d3830a3e5324df7f870abe9c0e04811401d1fbc31,1784540207.9785664,,length,200,27.92036199569702,13,64,1170,True,A_prefill,4133,A_prefill,1784540180.0582044,4197,True
64,305,fccd7507fed6defbf19191036bd797ab42f170f8add60f51b997327490fae24f,1784540207.9757943,,length,200,27.91709041595459,14,64,1130,True,A_prefill,3976,A_prefill,1784540180.058704,4040,True
64,290,4d36ba28d63259fa4bdeea8b75d5ee75c06e324ef11faa4fa20cddc08764b600,1784540207.9757082,,length,200,27.916399717330933,15,64,1073,True,A_prefill,3749,A_prefill,1784540180.0593085,3813,True
96,367,5ba16212ea430bc6d8499b5a41d4746221d64490a02699cb42a6185c90ee35ea,1784540208.6157207,,length,200,28.555928468704224,16,96,1324,True,A_prefill,4644,A_prefill,1784540180.0597923,4740,True
96,437,cfd85ec246e0e5e772c62e6ec88007644ea60769c4263fcce3e708b743dcb1a9,1784540208.616545,,length,200,28.556111097335815,17,96,1160,True,A_prefill,4099,A_prefill,1784540180.0604339,4195,True
64,298,6d3334fa1631c36bda69896ca6a303db9bd0a87b3c1e6513e7e99a05e750a3e8,1784540207.9788892,,length,200,27.917844772338867,18,64,1218,True,A_prefill,4268,A_prefill,1784540180.0610445,4332,True
96,382,da90b2f5ff4fc4d70b156afe3177c095b5f0782bf3c64924536b620d2fc6e6ae,1784540208.6305892,,length,200,28.569051265716553,19,96,1335,True,A_prefill,4691,A_prefill,1784540180.061538,4787,True
128,461,c5e3769e1bfabb23bb1c0910ea88345f452b65f4ce816bd598c4e3f6c7665500,1784540208.934442,,length,200,28.872464418411255,20,128,1260,True,A_prefill,4395,A_prefill,1784540180.0619776,4523,True
128,560,5c51f64800207e0967a19bf6c64f0e77aa64d0a83ec1f4cf1dd4dfd7a4dd6ea1,1784540208.934331,,length,200,28.87191414833069,21,128,1311,True,A_prefill,4598,A_prefill,1784540180.0624168,4726,True
128,548,66c7b80d88ea763b390f5cbf7c8a27220289c8ed1ead89c332a7374efa9ec2ad,1784540208.9345477,,length,200,28.871582984924316,22,128,1088,True,A_prefill,3817,A_prefill,1784540180.0629647,3945,True
64,266,de6c90e8dbc5bac5fd09af6f11d191531463ef48a0091649a8ba4b9284478658,1784540208.0125139,,length,200,27.949025869369507,23,64,1111,True,A_prefill,3909,A_prefill,1784540180.063488,3973,True
96,453,1b9c19a69abc9891327fa582fadc4f7e988501c382318115f6cc5bf83bbc16f5,1784540208.630708,,length,200,28.566731691360474,24,96,1126,True,A_prefill,3970,A_prefill,1784540180.0639763,4066,True
64,225,73cf37f6169c69bef5856b19cd093aa79e0833208a7711804f2dc10c24de7b08,1784540208.0125794,,length,200,27.94820261001587,25,64,1328,True,A_prefill,4669,A_prefill,1784540180.0643768,4733,True
64,225,73cf37f6169c69bef5856b19cd093aa79e0833208a7711804f2dc10c24de7b08,1784540207.9779794,,length,200,27.913177013397217,26,64,1349,True,A_prefill,4754,A_prefill,1784540180.0648024,4818,True
128,615,3c6acd893559fd609e10c63b9b671bb4fafe18840bc45794525fdcc9fc5bb3f3,1784540208.93739,,length,200,28.872105836868286,27,128,1159,True,A_prefill,4098,A_prefill,1784540180.0652843,4226,True
128,520,589927c4f503deea856e8bc1b840c89623e7460c71b9bf08a20659b0762034c3,1784540208.9373305,,length,200,28.87163996696472,28,128,1108,True,A_prefill,3903,A_prefill,1784540180.0656905,4031,True
64,299,41d8fb98f6137fda6651bea84b797cae4dc7f85f6d6b2fe054bdf389f08455d7,1784540208.8357272,,length,200,28.769602298736572,29,64,1260,True,A_prefill,4401,A_prefill,1784540180.066125,4465,True
128,571,f770243f24af90867b724f61180934be55cdbc2ce493a605c452379cf08b9859,1784540209.1388428,,length,200,29.07221007347107,30,128,1328,True,A_prefill,4675,A_prefill,1784540180.0666327,4803,True
96,373,ab66ac532f2812c61076f1f57e9c3d086ee64b8dc2dc780fe12e144903477b79,1784540208.630654,,length,200,28.563597679138184,31,96,1148,True,A_prefill,4065,A_prefill,1784540180.0670564,4161,True
96,360,09bd89026b36d95eae1a4ca7ceeb7f1717ac9e75667f9015635db31d95542ec6,1784540208.7124274,,length,200,28.64503574371338,32,96,1143,True,A_prefill,4046,A_prefill,1784540180.0673916,4142,True
0,0,,1784540208.8477402,HTTP Error 500: Internal Server Error,,500,6.787307977676392,33,1200,429,True,B_decode,0,B_decode,1784540202.0604322,0,False
