allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
0,VllmDecodeWorker,,2026-07-20T17:22:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539375.1341007
0,VllmDecodeWorker,,2026-07-20T17:22:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539375.1341152
0,VllmPrefillWorker,,2026-07-20T17:22:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539375.134118
0,VllmPrefillWorker,,2026-07-20T17:22:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539375.1341202
0,VllmDecodeWorker,,2026-07-20T17:23:01,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539381.185698
0,VllmDecodeWorker,,2026-07-20T17:23:01,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539381.1857264
0,VllmPrefillWorker,,2026-07-20T17:23:01,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539381.1857338
0,VllmPrefillWorker,,2026-07-20T17:23:01,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539381.185739
0,VllmDecodeWorker,,2026-07-20T17:23:07,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539387.0231354
0,VllmDecodeWorker,,2026-07-20T17:23:07,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539387.0231488
0,VllmPrefillWorker,,2026-07-20T17:23:07,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539387.0231516
0,VllmPrefillWorker,,2026-07-20T17:23:07,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539387.0231545
0,VllmDecodeWorker,,2026-07-20T17:23:13,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539393.5568163
0,VllmDecodeWorker,,2026-07-20T17:23:13,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539393.5568311
0,VllmPrefillWorker,,2026-07-20T17:23:13,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539393.556834
0,VllmPrefillWorker,,2026-07-20T17:23:13,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539393.5568361
0,VllmDecodeWorker,,2026-07-20T17:23:20,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539400.0847285
0,VllmDecodeWorker,,2026-07-20T17:23:20,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539400.084744
0,VllmPrefillWorker,,2026-07-20T17:23:20,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539400.0847466
0,VllmPrefillWorker,,2026-07-20T17:23:20,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539400.0847485
0,VllmDecodeWorker,,2026-07-20T17:23:30,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539410.2913482
0,VllmDecodeWorker,,2026-07-20T17:23:30,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539410.291363
0,VllmPrefillWorker,,2026-07-20T17:23:30,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539410.2913659
0,VllmPrefillWorker,,2026-07-20T17:23:30,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539410.2913678
0,VllmDecodeWorker,,2026-07-20T17:23:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539420.9989457
0,VllmDecodeWorker,,2026-07-20T17:23:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539420.9989595
0,VllmPrefillWorker,,2026-07-20T17:23:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539420.9989626
0,VllmPrefillWorker,,2026-07-20T17:23:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539420.998965
0,VllmDecodeWorker,,2026-07-20T17:23:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539428.8688488
0,VllmDecodeWorker,,2026-07-20T17:23:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539428.8688698
0,VllmPrefillWorker,,2026-07-20T17:23:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539428.868875
0,VllmPrefillWorker,,2026-07-20T17:23:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539428.8688786
0,VllmDecodeWorker,,2026-07-20T17:23:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539436.4197676
0,VllmDecodeWorker,,2026-07-20T17:23:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539436.4197826
0,VllmPrefillWorker,,2026-07-20T17:23:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539436.4197855
0,VllmPrefillWorker,,2026-07-20T17:23:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539436.4197874
0,VllmDecodeWorker,,2026-07-20T17:24:05,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539445.1060216
0,VllmDecodeWorker,,2026-07-20T17:24:05,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539445.1060379
0,VllmPrefillWorker,,2026-07-20T17:24:05,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539445.1060405
0,VllmPrefillWorker,,2026-07-20T17:24:05,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539445.1060424
0,VllmDecodeWorker,,2026-07-20T17:24:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fx8c7w,Running,10.244.0.185,False,0,0,2,2,4,1784539451.5232909
0,VllmDecodeWorker,,2026-07-20T17:24:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fzzsz7,Running,10.244.0.184,False,0,0,2,2,4,1784539451.523317
0,VllmPrefillWorker,,2026-07-20T17:24:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485785kxxt,Running,10.244.0.183,False,0,0,2,2,4,1784539451.52332
0,VllmPrefillWorker,,2026-07-20T17:24:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578nmrcs,Running,10.244.0.182,False,0,0,2,2,4,1784539451.523322
