completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,294,4012e3822270caa4d8283738e12a0c4fbb4b9d2d0717e5db20fd9c57aebe5ab6,1784539592.19064,,length,200,34.02377915382385,1,64,1217,True,A_prefill,4257,A_prefill,1784539558.1668608,4321,True
96,442,25d269f4b0049d26a489f65d530aace412aa3026019b787c7216de03ac9e8788,1784539593.0634513,,length,200,34.89500665664673,2,96,1243,True,A_prefill,4336,A_prefill,1784539558.1684446,4432,True
128,533,444b9694ba49259b962798ae745d1053e3b8d12c7e734a407ac39187725dd3cc,1784539593.661741,,length,200,35.49399757385254,3,128,1236,True,A_prefill,4317,A_prefill,1784539558.1677434,4445,True
128,586,7555d3cbba39e07dfdb94c6fbe76dd56d5584400f9a82941b42fa9fcfff390c3,1784539593.6618216,,length,200,35.49447011947632,4,128,1083,True,A_prefill,3774,A_prefill,1784539558.1673515,3902,True
64,299,3757594940d4b2211a76ebdec123b3cec5a3d0f49c82b958f4da1bc7f114146b,1784539592.239392,,length,200,34.07126331329346,5,64,1228,True,A_prefill,4294,A_prefill,1784539558.1681287,4358,True
96,439,629722568612ad490ac6b0c188b2a673a80b64cadef9653618fa436fc28ee8fa,1784539593.0616329,,length,200,34.89259386062622,6,96,1137,True,A_prefill,3993,A_prefill,1784539558.169039,4089,True
128,561,82ba87994476449b1d55a80d3218d5f281a8571b90eedf3e5c828cb70e9de30d,1784539593.6959934,,length,200,35.52625870704651,7,128,1116,True,A_prefill,3912,A_prefill,1784539558.1697347,4040,True
128,517,b339d18176925e07d8d61c147f0117d4562a616eb2587b68f6df4b3bf054da96,1784539593.663152,,length,200,35.49286985397339,8,128,1069,True,A_prefill,3734,A_prefill,1784539558.1702821,3862,True
64,297,fb9561059784c8d119f92232b84439e3d1ead80b778a233fc14df0ecf884a9a5,1784539592.255016,,length,200,34.084264516830444,9,64,1275,True,A_prefill,4441,A_prefill,1784539558.1707516,4505,True
64,279,91afbee0d126698b48819f2290b8b94675da2d3f5a09a9e0dfd0441cec367da4,1784539592.2561564,,length,200,34.08502674102783,10,64,1256,True,A_prefill,4384,A_prefill,1784539558.1711297,4448,True
128,578,8574b8f56d912c7504935e68881c1d7556175db27f37d26331e31f9f0db2e2cc,1784539593.6632254,,length,200,35.491743326187134,11,128,1285,True,A_prefill,4486,A_prefill,1784539558.171482,4614,True
96,450,41ac80e2ee1d74734beea43b5fc9c6b0ccdfe73e3a5b9cab95736e2f5cd7e1cc,1784539593.0651178,,length,200,34.893208742141724,12,96,1243,True,A_prefill,4345,A_prefill,1784539558.171909,4441,True
64,283,cf25dccb25ddedbf1853b2b5eccae02971bef1b91ccfbec22124b8edd2a68835,1784539592.2568235,,length,200,34.08433508872986,13,64,1170,True,A_prefill,4135,A_prefill,1784539558.1724885,4199,True
64,302,1877161b8888adc27b40eeffb069edebe2574b189d9376921d7129f3fc22e64b,1784539592.2569447,,length,200,34.0840790271759,14,64,1130,True,A_prefill,3978,A_prefill,1784539558.1728656,4042,True
64,285,ef87229cbdc0213bcc8202932ac11d58f9be4089abbb43efb94a664b78ff007e,1784539592.2597077,,length,200,34.086461782455444,15,64,1073,True,A_prefill,3751,A_prefill,1784539558.173246,3815,True
96,454,007114758e4f696fb4be249509780ac921965cad2ed77552df45156862a11f5f,1784539593.061504,,length,200,34.8876428604126,16,96,1324,True,A_prefill,4646,A_prefill,1784539558.173861,4742,True
96,429,00ea0d42e441742496023add4c25dd377e00d22399effd3a96e673e06ecda1f4,1784539593.064936,,length,200,34.89064931869507,17,96,1160,True,A_prefill,4101,A_prefill,1784539558.1742866,4197,True
64,305,f6e70ddca19dd83ad02e26b3aecb203ac1bc73ff6042e90014c14592adcde633,1784539592.255167,,length,200,34.080339431762695,18,64,1218,True,A_prefill,4270,A_prefill,1784539558.1748276,4334,True
96,447,9f860d9b00fc056b7600c9ffa374cd89f7a1bca32b686735dad8b83bc7ebf24e,1784539593.1220438,,length,200,34.94672346115112,19,96,1335,True,A_prefill,4693,A_prefill,1784539558.1753204,4789,True
128,606,799828a387255da621245a3f7efa08f9fe3739011dbed726b3a0dbcd19b1a4b8,1784539593.6630776,,length,200,35.48715782165527,20,128,1260,True,A_prefill,4397,A_prefill,1784539558.1759198,4525,True
128,534,d8c7d4293d336e7dc5578dd36f9cb14c4243aa200aac7b004925f25d7a7dd185,1784539593.696298,,length,200,35.51993465423584,21,128,1311,True,A_prefill,4600,A_prefill,1784539558.1763632,4728,True
128,553,0ae2876c0857b309e99a912e5a5c128d28ef9f441a36db4c6f43705dc0d06694,1784539593.6958857,,length,200,35.518858671188354,22,128,1088,True,A_prefill,3819,A_prefill,1784539558.177027,3947,True
64,298,6c3655386fc52da7203604b4bc25d24ee33a898924cfbfcdb785a940521957f0,1784539592.259636,,length,200,34.082109451293945,23,64,1111,True,A_prefill,3911,A_prefill,1784539558.1775265,3975,True
96,448,53232be4fecf7e2d7b098c57a4e0dfbc1c365fbb23ae9f7cea8f85ba8dd14f2f,1784539593.0652425,,length,200,34.8873233795166,24,96,1126,True,A_prefill,3972,A_prefill,1784539558.1779191,4068,True
64,300,6c86f2f6f8d613c61dc700079a962013d7153ec7875fca2e55bbf4ce1e6f7e33,1784539592.2550833,,length,200,34.07678556442261,25,64,1328,True,A_prefill,4671,A_prefill,1784539558.1782978,4735,True
64,300,d658dc6a5160ef17b4e474b7070849b34aa64ae4c64557f022b67e64e9812d75,1784539592.2569878,,length,200,34.07817721366882,26,64,1349,True,A_prefill,4756,A_prefill,1784539558.1788106,4820,True
128,522,dfff43189f843956edb5fbc945a68bf3db0bfe42db5db18941606d55f1195781,1784539593.696358,,length,200,35.51711320877075,27,128,1159,True,A_prefill,4100,A_prefill,1784539558.1792448,4228,True
128,516,046f2e7d6f995951fa15b52ea9db8a00b998bb3e71caa7f64d2e343fa6906bec,1784539593.7114072,,length,200,35.53162431716919,28,128,1108,True,A_prefill,3905,A_prefill,1784539558.1797829,4033,True
64,299,086afd4cfd117e6050da8e231a9049f45c8e043a5e2cc1358af3c81f99a43a28,1784539592.4895859,,length,200,34.30941867828369,29,64,1260,True,A_prefill,4403,A_prefill,1784539558.1801672,4467,True
128,604,37ffc119b2aa2bdbc4f03c99571b95f1ee6fdf94d98d6fd02f45dee0fd8d2faf,1784539593.696237,,length,200,35.5155086517334,30,128,1328,True,A_prefill,4677,A_prefill,1784539558.1807284,4805,True
96,409,e99782b306e10e7d32a9ab23be3f4be4f6bc6386d7585d70e4448ba2a9836297,1784539593.0633543,,length,200,34.88220191001892,31,96,1148,True,A_prefill,4067,A_prefill,1784539558.1811523,4163,True
96,435,7228843634028cd84ecc57cba1e6961ae0cb11cf5e76bf45752265a3ab177e07,1784539593.0614188,,length,200,34.879860639572144,32,96,1143,True,A_prefill,4048,A_prefill,1784539558.1815581,4144,True
456,2179,a69b38495a9d895e508aa18ac6aec5657f916718012c6f68dbb1a6f914b47725,1784539597.6178343,,stop,200,17.443825244903564,33,1200,429,True,B_decode,1555,B_decode,1784539580.174009,2011,True
700,3532,5eaec382a3d2618d6b8c6443d033b7d0680c2405e8ff28d0ab51e06736809e18,1784539600.0817683,,stop,200,19.915098428726196,34,1200,354,True,B_decode,1334,B_decode,1784539580.1666698,2034,True
708,3448,878caef1625b22fcc28ad8656c7e22d32f65b50da9dd19205209139c0f5beb7a,1784539600.2402053,,stop,200,20.073116302490234,35,1200,425,True,B_decode,1543,B_decode,1784539580.167089,2251,True
493,2392,ecec6b15b61616179e192e62c7c3d305242db37ec83ac0418dafa23f9c3edb87,1784539598.209135,,stop,200,18.039311408996582,36,1200,356,True,B_decode,1344,B_decode,1784539580.1698236,1837,True
538,2499,80ba78fb87eedce0ba717252020e9178b39607d12651e63f777d0afb243b0065,1784539598.5047317,,stop,200,18.33525538444519,37,1200,447,True,B_decode,1609,B_decode,1784539580.1694763,2147,True
779,3719,ec9a4107c031598ba690757c86635e50bb94306232bb908f1290852ea7f43660,1784539600.5767815,,stop,200,20.408485651016235,38,1200,546,True,B_decode,1996,B_decode,1784539580.1682959,2775,True
600,2826,ae006297bf1d5b4dd8a750acdb1772c35e0f40ec01cba0e513cd4437e154d410,1784539599.3958898,,stop,200,19.22803521156311,39,1200,437,True,B_decode,1579,B_decode,1784539580.1678545,2179,True
692,3333,010bebe61abf332ff45a3cca2795b8befb415bd1bb71b4ccfd4184c776362a5b,1784539599.9885402,,stop,200,19.81827473640442,40,1200,483,True,B_decode,1746,B_decode,1784539580.1702654,2438,True
477,2391,06cb3384de4e79c703452df664086bb49d606d96b6702e69e01c6056dc8e8a8d,1784539597.9138749,,stop,200,17.741633892059326,41,1200,352,True,B_decode,1333,B_decode,1784539580.172241,1810,True
855,4185,1a191b9ae305a5d0bdf76a0737f90a968d91a9616aa3e07251c6527d1598e426,1784539600.8716328,,stop,200,20.698853731155396,42,1200,507,True,B_decode,1844,B_decode,1784539580.172779,2699,True
916,3880,61622d87d489ab48a3491d899f4451043a55ae9c3640fefc04f9837d99a6de3a,1784539601.1605115,,stop,200,20.99434208869934,43,1200,402,True,B_decode,1474,B_decode,1784539580.1661694,2390,True
862,3970,4d272cf9edf405da193693e2414f3f29d8d45362f5b256bcd3190bebb310b702,1784539600.978797,,stop,200,20.80690050125122,44,1200,419,True,B_decode,1525,B_decode,1784539580.1718965,2387,True
668,3207,8da4ed4f69109b60ada03bb8ac0a97aa92482a8dd6f8966cc10357f541555793,1784539599.8447812,,stop,200,19.675615310668945,45,1200,422,True,B_decode,1534,B_decode,1784539580.1691658,2202,True
673,3312,dd61dee75ea6740e6ef9af645ee9a54b35a4b0213c4abdf8f241a4dddc1ff298,1784539599.859768,,stop,200,19.68728280067444,46,1200,537,True,B_decode,1968,B_decode,1784539580.172485,2641,True
1061,4884,b98eeb90750e2aafb255ca9907686e66e1c08cfab12723bd540c835309fb4384,1784539601.755431,,stop,200,21.589529991149902,47,1200,369,True,B_decode,1375,B_decode,1784539580.165901,2436,True
537,2534,084ab69549a4b816dc3bd66f4e72bfd3cc810af32173b6bf99a5c2bea56447ae,1784539598.4836571,,stop,200,18.316203355789185,48,1200,475,True,B_decode,1722,B_decode,1784539580.1674538,2259,True
466,2380,f3485599e0698cdcca6f05a6b6fa0b5043fcd7b598ed05466861f95ecfdd21af,1784539597.8436565,,stop,200,17.672573566436768,49,1200,391,True,B_decode,1441,B_decode,1784539580.171083,1907,True
642,3214,106424d6adcb43e7da3af9c0707acd835837fa6f56797e5f46929b80d5759810,1784539599.6915324,,stop,200,19.51987099647522,50,1200,532,True,B_decode,1952,B_decode,1784539580.1716614,2594,True
765,3602,3dc043b97a81d246a1443b8a19702d9440befbb656ce580aec36d28281a7e6be,1784539600.4679115,,stop,200,20.299116611480713,51,1200,352,True,B_decode,1325,B_decode,1784539580.1687949,2090,True
438,2152,839fef2701b7f2d449d90aef2f53c471dd1d51eb5deb6e5b8d8ad8bf16044725,1784539597.5442755,,stop,200,17.37083864212036,52,1200,508,True,B_decode,1858,B_decode,1784539580.1734369,2296,True
771,3608,18ae3043efd6605f70fec2abd43b3ef65cc6a226c18705d2b987f2c1d9d5a4fe,1784539600.5093665,,stop,200,20.337998628616333,53,1200,506,True,B_decode,1851,B_decode,1784539580.171368,2622,True
672,3341,0507f39d8b6fe069310f901f88c86b8843a9cfc5bb46327934bbe2d8d8c6a231,1784539599.9011579,,stop,200,19.727360010147095,54,1200,512,True,B_decode,1876,B_decode,1784539580.1737978,2548,True
813,3733,d747dc9738a2d0d4e9392f0e863adfdc6a70e55653b00ddfbdb170264646d063,1784539600.8621924,,stop,200,20.689019680023193,55,1200,405,True,B_decode,1483,B_decode,1784539580.1731727,2296,True
642,2934,ca6d47f1435190726355f25d6b8e05eaf9f02f97cb4acddf81ec60090f94aa8a,1784539599.6913927,,stop,200,19.52083444595337,56,1200,403,True,B_decode,1477,B_decode,1784539580.1705582,2119,True
6000,27293,e3680349d3a0de90860632c8c7600d4bf6510fb6a23b613b70bc3b1a0356dc8d,1784539624.6793187,,length,200,26.51501488685608,57,6000,58,True,C_tail,283,C_tail,1784539598.1643038,6283,True
6000,26174,c3983f5389701c892490423d6bdc931a8f4e85e01dbf2315dce56ccbdd76e186,1784539628.2836652,,length,200,27.11981463432312,58,6000,56,True,C_tail,276,C_tail,1784539601.1638505,6276,True
