allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
2,VllmDecodeWorker,,2026-07-20T16:57:39,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f26mh4,Running,10.244.0.157,True,1,1,2,2,4,1784537859.7083855
2,VllmDecodeWorker,,2026-07-20T16:57:39,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fpq4br,Running,10.244.0.160,False,1,1,2,2,4,1784537859.7084005
2,VllmPrefillWorker,,2026-07-20T16:57:39,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485788g88t,Running,10.244.0.159,False,1,1,2,2,4,1784537859.7084033
2,VllmPrefillWorker,,2026-07-20T16:57:39,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l8r6m,Running,10.244.0.156,True,1,1,2,2,4,1784537859.7084055
2,VllmDecodeWorker,,2026-07-20T16:57:45,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f26mh4,Running,10.244.0.157,True,1,1,2,2,4,1784537865.711581
2,VllmDecodeWorker,,2026-07-20T16:57:45,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fpq4br,Running,10.244.0.160,False,1,1,2,2,4,1784537865.7115972
2,VllmPrefillWorker,,2026-07-20T16:57:45,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485788g88t,Running,10.244.0.159,False,1,1,2,2,4,1784537865.7116003
2,VllmPrefillWorker,,2026-07-20T16:57:45,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l8r6m,Running,10.244.0.156,True,1,1,2,2,4,1784537865.7116027
2,VllmDecodeWorker,,2026-07-20T16:57:51,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f26mh4,Running,10.244.0.157,True,1,1,2,2,4,1784537871.739573
2,VllmDecodeWorker,,2026-07-20T16:57:51,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fpq4br,Running,10.244.0.160,False,1,1,2,2,4,1784537871.73959
2,VllmPrefillWorker,,2026-07-20T16:57:51,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485788g88t,Running,10.244.0.159,False,1,1,2,2,4,1784537871.7395928
2,VllmPrefillWorker,,2026-07-20T16:57:51,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l8r6m,Running,10.244.0.156,True,1,1,2,2,4,1784537871.7395947
2,VllmDecodeWorker,,2026-07-20T16:57:58,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f26mh4,Running,10.244.0.157,True,1,1,2,2,4,1784537878.0100522
2,VllmDecodeWorker,,2026-07-20T16:57:58,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fpq4br,Running,10.244.0.160,False,1,1,2,2,4,1784537878.0100667
2,VllmPrefillWorker,,2026-07-20T16:57:58,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485788g88t,Running,10.244.0.159,False,1,1,2,2,4,1784537878.0100696
2,VllmPrefillWorker,,2026-07-20T16:57:58,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l8r6m,Running,10.244.0.156,True,1,1,2,2,4,1784537878.0100713
2,VllmDecodeWorker,,2026-07-20T16:58:04,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f26mh4,Running,10.244.0.157,True,1,1,2,2,4,1784537884.6328003
2,VllmDecodeWorker,,2026-07-20T16:58:04,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fpq4br,Running,10.244.0.160,False,1,1,2,2,4,1784537884.6328168
2,VllmPrefillWorker,,2026-07-20T16:58:04,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485788g88t,Running,10.244.0.159,False,1,1,2,2,4,1784537884.6328197
2,VllmPrefillWorker,,2026-07-20T16:58:04,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l8r6m,Running,10.244.0.156,True,1,1,2,2,4,1784537884.6328228
2,VllmDecodeWorker,,2026-07-20T16:58:12,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599f26mh4,Running,10.244.0.157,True,1,1,2,2,4,1784537892.9776685
2,VllmDecodeWorker,,2026-07-20T16:58:12,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6fdd4b599fpq4br,Running,10.244.0.160,False,1,1,2,2,4,1784537892.9776857
2,VllmPrefillWorker,,2026-07-20T16:58:12,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7876485788g88t,Running,10.244.0.159,False,1,1,2,2,4,1784537892.9776886
2,VllmPrefillWorker,,2026-07-20T16:58:12,vllm-v1-disagg-router-vllmprefillworker-41888dc2-787648578l8r6m,Running,10.244.0.156,True,1,1,2,2,4,1784537892.9776907
