allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
4,VllmDecodeWorker,,2026-07-23T08:48:53,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-559974d6659xbg2,Running,10.244.0.160,True,2,2,2,2,4,1784767733.8882012
4,VllmDecodeWorker,,2026-07-23T08:48:53,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-559974d665x84x2,Running,10.244.0.162,True,2,2,2,2,4,1784767733.888237
4,VllmPrefillWorker,,2026-07-23T08:48:53,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7fbc7674d4knk9,Running,10.244.0.159,True,2,2,2,2,4,1784767733.8882427
4,VllmPrefillWorker,,2026-07-23T08:48:53,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7fbc7674dfj9fv,Running,10.244.0.161,True,2,2,2,2,4,1784767733.888247
4,VllmPrefillWorker,,2026-07-23T08:48:53,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,False,2,2,2,2,4,1784767733.888252
4,VllmDecodeWorker,,2026-07-23T08:49:00,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-559974d6659xbg2,Running,10.244.0.160,True,2,2,2,2,4,1784767740.418205
4,VllmDecodeWorker,,2026-07-23T08:49:00,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-559974d665x84x2,Running,10.244.0.162,True,2,2,2,2,4,1784767740.4182315
4,VllmDecodeWorker,,2026-07-23T08:49:00,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6965997d9dgfnzj,Running,10.244.0.167,False,2,2,2,2,4,1784767740.4182405
4,VllmPrefillWorker,,2026-07-23T08:49:00,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7fbc7674d4knk9,Running,10.244.0.159,True,2,2,2,2,4,1784767740.41825
4,VllmPrefillWorker,,2026-07-23T08:49:00,vllm-v1-disagg-router-vllmprefillworker-41888dc2-7fbc7674dfj9fv,Running,10.244.0.161,True,2,2,2,2,4,1784767740.4182553
4,VllmPrefillWorker,,2026-07-23T08:49:00,vllm-v1-disagg-router-vllmprefillworker-41888dc2-fd8f6866b54ndv,Running,10.244.0.166,False,2,2,2,2,4,1784767740.4182596
4,VllmDecodeWorker,,2026-07-23T08:49:06,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-559974d6659xbg2,Running,10.244.0.160,True,2,2,2,2,4,1784767746.9725337
