allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
0,VllmDecodeWorker,,2026-07-23T09:27:09,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770029.9903579
0,VllmDecodeWorker,,2026-07-23T09:27:09,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770029.990407
0,VllmPrefillWorker,,2026-07-23T09:27:09,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770029.9904125
0,VllmPrefillWorker,,2026-07-23T09:27:09,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770029.9904149
0,VllmDecodeWorker,,2026-07-23T09:27:16,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770036.4563308
0,VllmDecodeWorker,,2026-07-23T09:27:16,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770036.456345
0,VllmPrefillWorker,,2026-07-23T09:27:16,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770036.4563482
0,VllmPrefillWorker,,2026-07-23T09:27:16,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770036.4563503
0,VllmDecodeWorker,,2026-07-23T09:27:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770042.5914893
0,VllmDecodeWorker,,2026-07-23T09:27:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770042.591507
0,VllmPrefillWorker,,2026-07-23T09:27:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770042.5915098
0,VllmPrefillWorker,,2026-07-23T09:27:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770042.591512
0,VllmDecodeWorker,,2026-07-23T09:27:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770048.7207348
0,VllmDecodeWorker,,2026-07-23T09:27:28,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770048.7207491
0,VllmPrefillWorker,,2026-07-23T09:27:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770048.7207518
0,VllmPrefillWorker,,2026-07-23T09:27:28,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770048.7207546
0,VllmDecodeWorker,,2026-07-23T09:27:37,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770057.8913085
0,VllmDecodeWorker,,2026-07-23T09:27:37,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770057.8913248
0,VllmPrefillWorker,,2026-07-23T09:27:37,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770057.8913274
0,VllmPrefillWorker,,2026-07-23T09:27:37,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770057.8913295
0,VllmDecodeWorker,,2026-07-23T09:27:47,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770067.241928
0,VllmDecodeWorker,,2026-07-23T09:27:47,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770067.2419436
0,VllmPrefillWorker,,2026-07-23T09:27:47,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770067.2419467
0,VllmPrefillWorker,,2026-07-23T09:27:47,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770067.2419486
0,VllmDecodeWorker,,2026-07-23T09:27:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770076.4223073
0,VllmDecodeWorker,,2026-07-23T09:27:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770076.4223225
0,VllmPrefillWorker,,2026-07-23T09:27:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770076.4223256
0,VllmPrefillWorker,,2026-07-23T09:27:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770076.4223275
0,VllmDecodeWorker,,2026-07-23T09:28:04,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770084.0123441
0,VllmDecodeWorker,,2026-07-23T09:28:04,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770084.0123577
0,VllmPrefillWorker,,2026-07-23T09:28:04,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770084.0123603
0,VllmPrefillWorker,,2026-07-23T09:28:04,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770084.0123622
0,VllmDecodeWorker,,2026-07-23T09:28:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770091.5301294
0,VllmDecodeWorker,,2026-07-23T09:28:11,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770091.5301425
0,VllmPrefillWorker,,2026-07-23T09:28:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770091.5301452
0,VllmPrefillWorker,,2026-07-23T09:28:11,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770091.5301473
0,VllmDecodeWorker,,2026-07-23T09:28:18,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770098.2377698
0,VllmDecodeWorker,,2026-07-23T09:28:18,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770098.2377853
0,VllmPrefillWorker,,2026-07-23T09:28:18,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770098.2377884
0,VllmPrefillWorker,,2026-07-23T09:28:18,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770098.23779
0,VllmDecodeWorker,,2026-07-23T09:28:24,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770104.8208373
0,VllmDecodeWorker,,2026-07-23T09:28:24,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770104.8208518
0,VllmPrefillWorker,,2026-07-23T09:28:24,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770104.820855
0,VllmPrefillWorker,,2026-07-23T09:28:24,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770104.8208566
0,VllmDecodeWorker,,2026-07-23T09:28:31,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770111.2793398
0,VllmDecodeWorker,,2026-07-23T09:28:31,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770111.279354
0,VllmPrefillWorker,,2026-07-23T09:28:31,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770111.2793581
0,VllmPrefillWorker,,2026-07-23T09:28:31,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770111.2793605
0,VllmDecodeWorker,,2026-07-23T09:28:37,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770117.6591492
0,VllmDecodeWorker,,2026-07-23T09:28:37,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770117.6591644
0,VllmPrefillWorker,,2026-07-23T09:28:37,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770117.659167
0,VllmPrefillWorker,,2026-07-23T09:28:37,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770117.659169
0,VllmDecodeWorker,,2026-07-23T09:28:43,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770123.7984302
0,VllmDecodeWorker,,2026-07-23T09:28:43,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770123.7984462
0,VllmPrefillWorker,,2026-07-23T09:28:43,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770123.7984486
0,VllmPrefillWorker,,2026-07-23T09:28:43,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770123.7984507
0,VllmDecodeWorker,,2026-07-23T09:28:50,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770130.2296891
0,VllmDecodeWorker,,2026-07-23T09:28:50,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770130.2297037
0,VllmPrefillWorker,,2026-07-23T09:28:50,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770130.2297063
0,VllmPrefillWorker,,2026-07-23T09:28:50,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770130.229708
0,VllmDecodeWorker,,2026-07-23T09:28:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770136.4341722
0,VllmDecodeWorker,,2026-07-23T09:28:56,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770136.4341884
0,VllmPrefillWorker,,2026-07-23T09:28:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770136.434191
0,VllmPrefillWorker,,2026-07-23T09:28:56,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64tbr9w,Running,10.244.0.194,False,0,0,2,2,4,1784770136.4341931
0,VllmDecodeWorker,,2026-07-23T09:29:02,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcqtg7d,Running,10.244.0.196,False,0,0,2,2,4,1784770142.9064102
0,VllmDecodeWorker,,2026-07-23T09:29:02,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-6d64697cbcrjwsd,Running,10.244.0.195,False,0,0,2,2,4,1784770142.9064264
0,VllmPrefillWorker,,2026-07-23T09:29:02,vllm-v1-disagg-router-vllmprefillworker-41888dc2-66c7dcc64rcgmz,Running,10.244.0.193,False,0,0,2,2,4,1784770142.9064295
