allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
2,VllmDecodeWorker,,2026-07-17T21:56:19,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-xmhmn,Running,10.244.0.77,True,1,1,1,1,2,1784296579.8651094
2,VllmPrefillWorker,,2026-07-17T21:56:19,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dh28g7,Running,10.244.0.76,True,1,1,1,1,2,1784296579.8651247
2,VllmDecodeWorker,,2026-07-17T21:56:26,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-xmhmn,Running,10.244.0.77,True,1,1,1,1,2,1784296586.517757
2,VllmPrefillWorker,,2026-07-17T21:56:26,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dh28g7,Running,10.244.0.76,True,1,1,1,1,2,1784296586.5177815
2,VllmDecodeWorker,,2026-07-17T21:56:33,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-xmhmn,Running,10.244.0.77,True,1,1,1,1,2,1784296593.169578
2,VllmPrefillWorker,,2026-07-17T21:56:33,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dh28g7,Running,10.244.0.76,True,1,1,1,1,2,1784296593.1695967
2,VllmDecodeWorker,,2026-07-17T21:56:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-xmhmn,Running,10.244.0.77,True,1,1,1,1,2,1784296600.0406792
2,VllmPrefillWorker,,2026-07-17T21:56:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dh28g7,Running,10.244.0.76,True,1,1,1,1,2,1784296600.0406926
2,VllmDecodeWorker,,2026-07-17T21:56:45,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-xmhmn,Running,10.244.0.77,True,1,1,1,1,2,1784296605.9692779
2,VllmPrefillWorker,,2026-07-17T21:56:45,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dh28g7,Running,10.244.0.76,True,1,1,1,1,2,1784296605.9692917
