completion_tokens,completion_tps,env,event,http_5xx_count,iso,p50_latency_s,p95_latency_s,p99_latency_s,prompt_tokens,prompt_tps,req_s,requests,scenario,success,success_pct,timeout_count,total_tokens,total_tps,ts,valid_decode,valid_decode_pct,wall_s
,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '2.0', 'ROLE_SWITCH_ENABLED': 'false', 'CONSOLIDATION_ENABLED': 'false', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'false', 'RLS_TEST_RUN_ID': 'baseline_minimal-run-3-1784296204'}",controller_configured,,2026-07-17T21:50:18,,,,,,,,baseline_minimal,,,,,,1784296218.7694993,,,
,,,initial_1p1d_ready,,2026-07-17T21:52:47,,,,,,,,,,,,,,1784296367.5788548,,,
,,,baseline_static_1p1d_ready,,2026-07-17T21:52:59,,,,,,,,,,,,,,1784296379.4534523,,,
,,,T_burst_arrival,,2026-07-17T21:52:59,,,,,,,,baseline_minimal,,,,,,1784296379.4559088,,,
,,,prefill_burst_start,,2026-07-17T21:53:00,,,,,,,,,,,,,,1784296380.9809253,,,
256,8.362558369349527,,prefill_burst_done,0,2026-07-17T21:53:31,5.9390130043029785,6.7354736328125,6.749681234359741,94160,3075.853500226373,2.0906395923373817,64,,64,100.0,0,94416,3084.2160585957226,1784296411.599177,64,100.0,30.61264133453369
,,,balanced_decode_start,,2026-07-17T21:53:34,,,,,,,,,,,,,,1784296414.3326519,,,
2304,212.5419572950113,,balanced_decode_done,0,2026-07-17T21:53:45,3.5692152976989746,3.7277958393096924,3.7282450199127197,18864,1740.1872753529049,2.2139787218230342,24,,24,100.0,0,21168,1952.729232647916,1784296425.1762483,24,100.0,10.84021258354187
,,,decode_tail_start,,2026-07-17T21:53:48,,,,,,,,,,,,,,1784296428.505898,,,
24320,516.3264248650112,,decode_tail_done,0,2026-07-17T21:54:35,2.0160608291625977,38.3907904624939,39.10032367706299,5800,123.13705856155694,0.36091896474939106,17,,17,100.0,0,30120,639.4634834265681,1784296475.6133707,17,100.0,47.101985931396484
