active_worker_count,client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,long_decode_probe_max_tokens,min_delay_s,min_generated_tokens,min_remaining_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot,snapshot_file,straggler,success,success_pct,timeout_count,total_active,total_tokens,total_tps,trigger,ts,valid_decode,valid_decode_pct,wall_s
,,,,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '0.80', 'ROLE_SWITCH_ENABLED': 'true', 'CONSOLIDATION_ENABLED': 'true', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'true', 'PREFILL_QUEUE_THRESHOLD': '1', 'DECODE_QUEUE_THRESHOLD': '2', 'DECODE_IDLE_THRESHOLD': '0.30', 'PREFILL_IDLE_THRESHOLD': '0.30', 'MIN_SWITCH_INTERVAL': '60', 'ROLE_SWITCH_VERIFY_TIMEOUT': '60', 'ROLE_SWITCH_VERIFY_POLL_INTERVAL': '1', 'CONSOLIDATION_THRESHOLD': '1', 'CONSOLIDATION_STABLE_SAMPLES': '1', 'CONSOLIDATION_MIN_INTERVAL': '4', 'MIN_BATCH_COMPLETION': '0.92', 'PER_REQUEST_MIGRATION_OVERHEAD': '0.10', 'RLS_TEST_RUN_ID': 'mixed_strategy-run-1-1784293063'}",controller_configured,,,2026-07-17T20:57:59,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784293079.1327157,,,
,,,,,,initial_1p1d_ready,,,2026-07-17T21:00:28,,,,,,,,,,,,,,,,,,,,,,,,,,1784293228.528012,,,
,1784293241.2173393,,,,,T_signal_recv,,,2026-07-17T21:00:43,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'warm_up'}",mixed_strategy,,,,,,,,,,,1784293243.0723507,,,
,,,,,,T_warmup_start,,,2026-07-17T21:00:43,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784293243.0744302,,,
,,,,,,warmup_forcing_topology,"{'prefill': 1, 'decode': 1}",,2026-07-17T21:02:16,,,,,controller did not pre-warm to 2P2D; forcing via deployment scaler,,,,,,,,,,,,,,,,,,,,,1784293336.870976,,,
,,,,2,,T_ready,,,2026-07-17T21:03:55,,,,,,,,,2,,,,,,mixed_strategy,,,,,,,,,,,1784293435.1653764,,,
,,,,,,T_burst_arrival,,,2026-07-17T21:03:55,,,,,,,,,,,,,,,mixed_strategy,,,,,,,,,,,1784293435.1675997,,,
,,,,,,prefill_pressure_signal,,,2026-07-17T21:03:56,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,,,,,,,,,,1784293436.714971,,,
,,,,,,runtime_role_gate_after_d_to_p,,,2026-07-17T21:04:29,,,,,,,,,,,,,,,,"{'ts': 1784293436.7176113, 'iso': '2026-07-17T21:03:56', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.48', 'current_role_label': 'prefill', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-txvvw', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.52', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.47', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dgf4sx', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.49', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 3, 'decode': 1, 'unknown': 0}}",,,,,,,,,,1784293469.2851367,,,
,,,,,,prefill_burst_start,,,2026-07-17T21:04:30,,,,,,,,,,,,,,,,,,,,,,,,,,1784293470.8161454,,,
,,256,14.405636539514227,,,prefill_burst_done,,0,2026-07-17T21:04:48,,,,,,3.082759141921997,5.421574592590332,5.423970699310303,,94096,5294.971780555198,3.6014091348785566,64,,,,,,64,100.0,0,,94352,5309.377417094713,,1784293488.593055,64,100.0,17.770821809768677
,,,,,,decode_pressure_signal,,,2026-07-17T21:04:52,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,,,,,,,,,,1784293492.306171,,,
,,,,,,runtime_role_gate_before_p_to_d,,,2026-07-17T21:05:22,,,,,,,,,,,,,,,,"{'ts': 1784293492.3069668, 'iso': '2026-07-17T21:04:52', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.48', 'current_role_label': 'decode', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-txvvw', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.52', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.47', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dgf4sx', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.49', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 2, 'decode': 2, 'unknown': 0}}",,,,,,,,,,1784293522.9277046,,,
,,,,,,decode_readiness_after_switch,,,2026-07-17T21:05:29,48,,,,,,,,,,,,,,,,,,,,,,,,,1784293529.4786305,,,
,,,,,,balanced_decode_start,,,2026-07-17T21:05:31,,,,,,,,,,,,,,,,,,,,,,,,,,1784293531.3348134,,,
,,2304,304.25734686140044,,,balanced_decode_done,,0,2026-07-17T21:05:38,,,,,,2.4283576011657715,2.652660608291626,2.7366647720336914,,18840,2487.9376800645764,3.1693473631395874,24,,,,,,24,100.0,0,,21144,2792.1950269259764,,1784293538.913294,24,100.0,7.572536945343018
,,,,,,runtime_role_gate_after_p_to_d,,,2026-07-17T21:06:13,,,,,,,,,,,,,,,,"{'ts': 1784293540.7217894, 'iso': '2026-07-17T21:05:40', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.48', 'current_role_label': 'decode', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-txvvw', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.52', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d77xsr', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.47', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dgf4sx', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.49', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 2, 'decode': 2, 'unknown': 0}}",,,,,,,,,,1784293573.8396475,,,
,,,,,,tail_active_window_poll_start,,,2026-07-17T21:06:13,,4.0,8,24,continuously poll /v1/active_requests for the whole tail phase; signal consolidation when a token-progress-qualified straggler exists,,,,,,,,,,,,,,,,,,,,,1784293573.8403692,,,
,,,,,,decode_tail_start,,,2026-07-17T21:06:40,,,,,,,,,,,,,,,,,,,,,,,,,,1784293600.1424947,,,
2,,,,,,tail_consolidation_signal,,,2026-07-17T21:06:57,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,reports\interleaved-5scenario-20260717-202840\mixed_strategy\run-01\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm', 'generated_tokens': 1611, 'remaining_tokens': 6389}",,,,2,,,token_progress_straggler,1784293617.4491036,,,
,,20431,500.0575867665495,,,decode_tail_done,,0,2026-07-17T21:07:21,,,,,,1.7424793243408203,30.461086750030518,32.85651612281799,,5783,141.54143332538573,0.4160823736004768,17,,,,,,17,100.0,0,,26214,641.5990200919351,,1784293641.0032947,17,100.0,40.85729432106018
1,,,,,,tail_consolidation_signal,,,2026-07-17T21:07:23,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,reports\interleaved-5scenario-20260717-202840\mixed_strategy\run-01\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-j9sbm', 'generated_tokens': 5033, 'remaining_tokens': 2967}",,,,2,,,token_progress_straggler,1784293643.7728453,,,
,,,,,,batch_complete_signal,,,2026-07-17T21:08:43,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'cool_down'}",,,,,,,,,,,,1784293723.1292775,,,
