allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
4,VllmDecodeWorker,,2026-07-17T20:41:44,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-5vz2f,Running,10.244.0.34,True,2,2,2,2,4,1784292104.9979172
4,VllmDecodeWorker,,2026-07-17T20:41:44,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,2,4,1784292104.9979472
4,VllmPrefillWorker,,2026-07-17T20:41:44,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d7pdqk,Running,10.244.0.33,True,2,2,2,2,4,1784292104.9979553
4,VllmPrefillWorker,,2026-07-17T20:41:44,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,2,2,4,1784292104.9979615
4,VllmDecodeWorker,,2026-07-17T20:41:50,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-5vz2f,Running,10.244.0.34,True,2,2,2,2,4,1784292110.9215631
4,VllmDecodeWorker,,2026-07-17T20:41:50,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,2,4,1784292110.9215882
4,VllmPrefillWorker,,2026-07-17T20:41:50,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d7pdqk,Running,10.244.0.33,True,2,2,2,2,4,1784292110.9215946
4,VllmPrefillWorker,,2026-07-17T20:41:50,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,2,2,4,1784292110.9215991
4,VllmDecodeWorker,,2026-07-17T20:41:57,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-5vz2f,Running,10.244.0.34,True,2,2,2,2,4,1784292117.3334193
4,VllmDecodeWorker,,2026-07-17T20:41:57,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,2,4,1784292117.3334389
4,VllmPrefillWorker,,2026-07-17T20:41:57,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d7pdqk,Running,10.244.0.33,True,2,2,2,2,4,1784292117.3334424
4,VllmPrefillWorker,,2026-07-17T20:41:57,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,2,2,4,1784292117.3334453
4,VllmDecodeWorker,,2026-07-17T20:42:03,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-5vz2f,Running,10.244.0.34,True,2,2,2,1,3,1784292123.7262766
4,VllmDecodeWorker,,2026-07-17T20:42:03,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,2,1,3,1784292123.7262945
4,VllmPrefillWorker,,2026-07-17T20:42:03,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d7pdqk,Running,10.244.0.33,True,2,2,2,1,3,1784292123.7262979
4,VllmPrefillWorker,,2026-07-17T20:42:03,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,2,1,3,1784292123.7263
4,VllmDecodeWorker,,2026-07-17T20:42:10,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-5vz2f,Running,10.244.0.34,True,2,2,1,1,2,1784292130.167776
4,VllmDecodeWorker,,2026-07-17T20:42:10,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,2,2,1,1,2,1784292130.167801
4,VllmPrefillWorker,,2026-07-17T20:42:10,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,2,2,1,1,2,1784292130.1678069
2,VllmDecodeWorker,,2026-07-17T20:42:16,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,1,1,1,1,2,1784292136.5333953
2,VllmPrefillWorker,,2026-07-17T20:42:16,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,1,1,1,1,2,1784292136.5334132
2,VllmDecodeWorker,,2026-07-17T20:42:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-6rrrt,Running,10.244.0.37,False,1,1,1,1,2,1784292142.4772308
2,VllmDecodeWorker,,2026-07-17T20:42:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7cmlp,Running,10.244.0.30,True,1,1,1,1,2,1784292142.4772549
2,VllmPrefillWorker,,2026-07-17T20:42:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44d9cwzl,Running,10.244.0.36,False,1,1,1,1,2,1784292142.4772623
2,VllmPrefillWorker,,2026-07-17T20:42:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dkscq6,Running,10.244.0.27,True,1,1,1,1,2,1784292142.4772677
2,VllmDecodeWorker,,2026-07-17T20:42:29,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-6rrrt,Running,10.244.0.37,False,1,1,2,2,4,1784292149.230276
