client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,long_decode_probe_max_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot,success,success_pct,timeout_count,total_tokens,total_tps,ts,valid_decode,valid_decode_pct,wall_s
,,,,"{'CONTROL_LOOP_INTERVAL': '1', 'K8S_SCALE_FALLBACK_ENABLED': 'true', 'MAX_GPUS': '4', 'MIN_PREFILL_REPLICAS': '1', 'MIN_DECODE_REPLICAS': '1', 'MAX_CONCURRENT_PER_DECODE': '64', 'SINGLE_PREFILL_TPS': '50000', 'TARGET_PREFILL_SECONDS': '5', 'COOLDOWN_SECONDS': '20', 'DRAIN_TIMEOUT_SECONDS': '120', 'CONSOLIDATION_DRAIN_TIMEOUT': '120', 'CONSOLIDATION_DRAIN_POLL_INTERVAL': '1', 'PRE_WARM_THRESHOLD': '0.80', 'ROLE_SWITCH_ENABLED': 'true', 'CONSOLIDATION_ENABLED': 'false', 'CONSOLIDATION_SCALE_DOWN_ENABLED': 'false', 'PREFILL_QUEUE_THRESHOLD': '1', 'DECODE_QUEUE_THRESHOLD': '2', 'DECODE_IDLE_THRESHOLD': '0.30', 'PREFILL_IDLE_THRESHOLD': '0.30', 'MIN_SWITCH_INTERVAL': '60', 'ROLE_SWITCH_VERIFY_TIMEOUT': '60', 'ROLE_SWITCH_VERIFY_POLL_INTERVAL': '1', 'RLS_TEST_RUN_ID': 's2_only-run-2-1784294545'}",controller_configured,,,2026-07-17T21:22:42,,,,,,,,,,,,s2_only,,,,,,,1784294562.9394786,,,
,,,,,initial_1p1d_ready,,,2026-07-17T21:22:56,,,,,,,,,,,,,,,,,,,1784294576.8561873,,,
1784294589.0461028,,,,,T_signal_recv,,,2026-07-17T21:23:10,,,,,,,,,,,"{'status': 'ok', 'state': 'warm_up'}",s2_only,,,,,,,1784294590.889881,,,
,,,,,T_warmup_start,,,2026-07-17T21:23:10,,,,,,,,,,,,s2_only,,,,,,,1784294590.890474,,,
,,,,,warmup_forcing_topology,"{'prefill': 1, 'decode': 1}",,2026-07-17T21:24:45,,controller did not pre-warm to 2P2D; forcing via deployment scaler,,,,,,,,,,,,,,,,,1784294685.2192693,,,
,,,2,,T_ready,,,2026-07-17T21:26:23,,,,,,2,,,,,,s2_only,,,,,,,1784294783.2489314,,,
,,,,,T_burst_arrival,,,2026-07-17T21:26:23,,,,,,,,,,,,s2_only,,,,,,,1784294783.2513094,,,
,,,,,prefill_pressure_signal,,,2026-07-17T21:26:25,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,,,,,,1784294785.3494003,,,
,,,,,runtime_role_gate_after_d_to_p,,,2026-07-17T21:26:57,,,,,,,,,,,,,"{'ts': 1784294785.35056, 'iso': '2026-07-17T21:26:25', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-chdc4', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.64', 'current_role_label': 'prefill', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-xbmk4', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.58', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dqt9bh', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.57', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44ds8ntm', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.63', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 3, 'decode': 1, 'unknown': 0}}",,,,,,1784294817.5242488,,,
,,,,,prefill_burst_start,,,2026-07-17T21:26:59,,,,,,,,,,,,,,,,,,,1784294819.556143,,,
