completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,300,2bdbef5f55c8f91b2f7fa4da3516aa4fd37b6865c939805deb5a0bf181faaaf9,1784538973.3289332,,length,200,36.406564235687256,1,64,1217,True,A_prefill,4255,A_prefill,1784538936.922369,4319,True
96,437,d64bfb34c0f899b3fbb54acef233d6d4753edb0fd91910d6efa6773b51672059,1784538974.0888145,,length,200,37.16615056991577,2,96,1243,True,A_prefill,4334,A_prefill,1784538936.922664,4430,True
128,526,c72d33815051f318613465dd3e28f0a79ef1a81ef8587dc5c54aee38fd408119,1784538974.6850152,,length,200,37.76207399368286,3,128,1236,True,A_prefill,4315,A_prefill,1784538936.9229412,4443,True
128,514,7e13d611001bd7c28f66253920914e2b54cc6cb61f011929fb81325167501d62,1784538974.6473467,,length,200,37.72394609451294,4,128,1083,True,A_prefill,3772,A_prefill,1784538936.9234006,3900,True
64,298,ee7dc007566badf090126602708caa975b831548924c04deda88a72000bec222,1784538973.3287914,,length,200,36.40453124046326,5,64,1228,True,A_prefill,4292,A_prefill,1784538936.9242601,4356,True
96,395,8e017143b1de216544cae6ad4681815516c7d7e2bd153d592b61f377ccfeb1fd,1784538974.0866544,,length,200,37.16158127784729,6,96,1137,True,A_prefill,3991,A_prefill,1784538936.9250731,4087,True
128,590,ebbd8aed1e3c32217aa8df35689bcd9fcb6ea47ec368301023a737c11fdcec1a,1784538974.6885133,,length,200,37.76275563240051,7,128,1116,True,A_prefill,3910,A_prefill,1784538936.9257576,4038,True
128,594,428e3466057592304e8287d5bfddbfb9d38adab6e405e79abac15d6575f35f6e,1784538974.6877244,,length,200,37.761361837387085,8,128,1069,True,A_prefill,3732,A_prefill,1784538936.9263625,3860,True
64,301,1252dcaa68a1cfced9ddc3fb6ba0287e03db97d8ccbe4cca17f8a11012f2290f,1784538973.3305445,,length,200,36.40339279174805,9,64,1275,True,A_prefill,4439,A_prefill,1784538936.9271517,4503,True
64,295,ac64199e98a2b848e795b2875b134940aed4163977981d832145e6e3e7d5aad2,1784538973.533692,,length,200,36.60608434677124,10,64,1256,True,A_prefill,4382,A_prefill,1784538936.9276075,4446,True
128,560,5ecebe5ea5914b703c72f0b3f90ccc8bf66ac66a75978dab58a0595e9fd4ab51,1784538974.6876683,,length,200,37.7596116065979,11,128,1285,True,A_prefill,4484,A_prefill,1784538936.9280567,4612,True
96,438,a70f2d2e8bba1b1bc74b0db973725609ff6ceafd1871cb17a73d623f67d9d6a7,1784538974.0921829,,length,200,37.16357111930847,12,96,1243,True,A_prefill,4343,A_prefill,1784538936.9286118,4439,True
64,298,15a2715fb2aebfcef061194fa10d888502bec2155c825912c5860a0385d3cf08,1784538973.3316636,,length,200,36.402668476104736,13,64,1170,True,A_prefill,4133,A_prefill,1784538936.9289951,4197,True
64,297,26f9d3579213b304f866c7a35cb9d579ea0bce6982a0b6724a4d2ce89ee86d83,1784538973.3298514,,length,200,36.40034484863281,14,64,1130,True,A_prefill,3976,A_prefill,1784538936.9295065,4040,True
64,290,4d36ba28d63259fa4bdeea8b75d5ee75c06e324ef11faa4fa20cddc08764b600,1784538973.3286512,,length,200,36.3987033367157,15,64,1073,True,A_prefill,3749,A_prefill,1784538936.9299479,3813,True
96,441,449519f619641476715a98f9d2f4b9dc7a60a1e3967b25f100dc0e00d9eedcf0,1784538974.0929418,,length,200,37.16263008117676,16,96,1324,True,A_prefill,4644,A_prefill,1784538936.9303117,4740,True
96,443,57d56911c2411169b8757ba913dafdd3005ca28cbd84c601cfce4a05adcee269,1784538974.0923269,,length,200,37.16142439842224,17,96,1160,True,A_prefill,4099,A_prefill,1784538936.9309025,4195,True
64,298,6d3334fa1631c36bda69896ca6a303db9bd0a87b3c1e6513e7e99a05e750a3e8,1784538973.3291,,length,200,36.39781427383423,18,64,1218,True,A_prefill,4268,A_prefill,1784538936.9312856,4332,True
96,418,5378f17d5a339470c99a579ede295405f44a701d9039df32d334b1e6d0b2c0af,1784538974.08887,,length,200,37.15720295906067,19,96,1335,True,A_prefill,4691,A_prefill,1784538936.931667,4787,True
128,587,7d751f9cdb9725b8c2771c6671412a43124b6c61d756cebc253049de3dd56064,1784538974.6915739,,length,200,37.75940823554993,20,128,1260,True,A_prefill,4395,A_prefill,1784538936.9321656,4523,True
128,546,2f104c42cd1e6a86fe4400e387b5784a0d89a45ea13de12a37b7cdbcd0d08963,1784538974.687614,,length,200,37.75465798377991,21,128,1311,True,A_prefill,4598,A_prefill,1784538936.932956,4726,True
128,554,d029f66bb5cbb5f9fd328d60a881f5ff088ebfbe8b1a25d77ae230a02ee62627,1784538974.6862435,,length,200,37.752869844436646,22,128,1088,True,A_prefill,3817,A_prefill,1784538936.9333737,3945,True
64,290,bfc4be0cd1753d998686f37bd2d461c7ee325435f19e40b2dd17bc6da075a3bf,1784538973.3294952,,length,200,36.3956573009491,23,64,1111,True,A_prefill,3909,A_prefill,1784538936.933838,3973,True
96,465,661cc5646bfe30235bd1c6861811e201c8804c55521751025c2214b19a2da0c7,1784538974.092247,,length,200,37.15800189971924,24,96,1126,True,A_prefill,3970,A_prefill,1784538936.934245,4066,True
64,274,1d644206602ad177ec0bd52d42037a8da2509d548769e42135b65f8675da6f8f,1784538973.3315556,,length,200,36.39684271812439,25,64,1328,True,A_prefill,4669,A_prefill,1784538936.934713,4733,True
64,292,5469fa0c476d753a113480e9e1c032af1c3d0c0f6dbf8e152916a418728049f3,1784538973.3512406,,length,200,36.416043519973755,26,64,1349,True,A_prefill,4754,A_prefill,1784538936.935197,4818,True
128,571,a8688c1a640a20ccf89e4b497fc5c9ac3aa7a6b3d7ac514029ac55fefb693d59,1784538974.686028,,length,200,37.75033187866211,27,128,1159,True,A_prefill,4098,A_prefill,1784538936.9356961,4226,True
128,594,be72b053704efc3d0aa5ee157fbb617717fc2fd1e520b48d4281791b1dd607b4,1784538974.688562,,length,200,37.75238037109375,28,128,1108,True,A_prefill,3903,A_prefill,1784538936.9361815,4031,True
64,299,41d8fb98f6137fda6651bea84b797cae4dc7f85f6d6b2fe054bdf389f08455d7,1784538973.329805,,length,200,36.39324474334717,29,64,1260,True,A_prefill,4401,A_prefill,1784538936.9365602,4465,True
128,596,183d900890726362dcc8b3a08e44cc40a01d9d3bc55c47b6458a995854040283,1784538974.7144978,,length,200,37.777514696121216,30,128,1328,True,A_prefill,4675,A_prefill,1784538936.936983,4803,True
96,398,1fe3ce6f9a94c4cea105937b66f64e5470c51486573e0687ebd159cbb9bd2ed0,1784538974.1003911,,length,200,37.16289210319519,31,96,1148,True,A_prefill,4065,A_prefill,1784538936.937499,4161,True
