completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,291,96b3248d6156bea16fd05e37942fc595ca9a1335a6b689acb5fbc4a3306f400e,1784538361.2821567,,length,200,34.16940450668335,1,64,1217,True,A_prefill,4257,A_prefill,1784538327.1127522,4321,True
96,443,201ec48ab8135da0c7efa89deeb1964e6b559ad24da4f039367ab7fa642f789a,1784538362.040814,,length,200,34.927290201187134,2,96,1243,True,A_prefill,4336,A_prefill,1784538327.1135237,4432,True
128,579,2cffbb1a641547dd8b9f8d55291fa84a0b53995ccf32471af51e309ad8cf0448,1784538362.650228,,length,200,35.53698110580444,3,128,1236,True,A_prefill,4317,A_prefill,1784538327.113247,4445,True
128,586,7555d3cbba39e07dfdb94c6fbe76dd56d5584400f9a82941b42fa9fcfff390c3,1784538362.6508944,,length,200,35.53686308860779,4,128,1083,True,A_prefill,3774,A_prefill,1784538327.1140313,3902,True
64,295,fd6f9f7088cb8203c8d17027e3e7d542f705fc4ab3f21a37d337f7b9afe3c45f,1784538361.2833369,,length,200,34.16831707954407,5,64,1228,True,A_prefill,4294,A_prefill,1784538327.1150198,4358,True
96,446,fc85feb8f2705fcef4f36cbe742045db83f99b8952ece52bf08208cd4f3e7ec2,1784538362.0431833,,length,200,34.92722535133362,6,96,1137,True,A_prefill,3993,A_prefill,1784538327.115958,4089,True
128,583,68a3bdbbd43236c781cc4cdc684836cbb84e896e992285c841d681cac086e68b,1784538362.6503143,,length,200,35.53393292427063,7,128,1116,True,A_prefill,3912,A_prefill,1784538327.1163814,4040,True
128,517,3ff1b9ca886d383258f0d00b9f5e220764ec155f9eb20748280807f20b9b7b86,1784538362.6797323,,length,200,35.56287431716919,8,128,1069,True,A_prefill,3734,A_prefill,1784538327.116858,3862,True
64,296,5a8a7147e6c8bced915078eb8cff5ed5e362b52f5bdcfadd04b442e88cc12f68,1784538361.3386438,,length,200,34.22139072418213,9,64,1275,True,A_prefill,4441,A_prefill,1784538327.117253,4505,True
64,296,d01757b2c098698177d988631245b0bcfee9eaa06f59454b635b21a55fd69ab6,1784538361.3387165,,length,200,34.22102332115173,10,64,1256,True,A_prefill,4384,A_prefill,1784538327.1176932,4448,True
128,574,0ebe5b62f0689a6e711c8e7e844294cd6cda545b64167d1561679917328f21e1,1784538362.6817148,,length,200,35.56334376335144,11,128,1285,True,A_prefill,4486,A_prefill,1784538327.118371,4614,True
