completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
64,293,cf80ecb4870b72f3d1422ec08dc4081e0550302e288f80056b92d6118d633d44,1784542021.3941438,,length,200,16.891741037368774,1,64,1217,True,A_prefill,4260,A_prefill,1784542004.5024028,4324,True
96,429,7d60e86efa9f356bb20fabb3b1225a52229bc3add65540b56dbe54e0f4c715b0,1784542036.8921494,,length,200,32.38944435119629,2,96,1243,True,A_prefill,4339,A_prefill,1784542004.502705,4435,True
128,622,c7eab19d76317bb9301daba297863c938aca66edc8d7d0b6b6615b8261a2d5e2,1784542009.629727,,length,200,5.1266443729400635,3,128,1236,True,A_prefill,4320,A_prefill,1784542004.5030825,4448,True
128,599,e6695b3b0e1e066444a94018bc84dde5f634173e779bb86a354ac18e5e8b0db2,1784542037.0532415,,length,200,32.54973316192627,4,128,1083,True,A_prefill,3777,A_prefill,1784542004.5035083,3905,True
64,301,d8db5b6b613c4d911724540277ba53b4595db7fd439ca836931ea91c639d34f8,1784542009.3290975,,length,200,4.825225591659546,5,64,1228,True,A_prefill,4297,A_prefill,1784542004.503872,4361,True
96,451,75b320c6c2865732f4e3b1272c458a968d5667988b5f58909c32852e485bccb2,1784542021.5009432,,length,200,16.9965922832489,6,96,1137,True,A_prefill,3996,A_prefill,1784542004.504351,4092,True
128,536,3174bd54c6a3daf050c6ec7b441c40904eacaf684fbce2ca21de8e3e250b6033,1784542035.044783,,length,200,30.539504051208496,7,128,1116,True,A_prefill,3915,A_prefill,1784542004.505279,4043,True
128,606,9bf21d1da49b31b259b5816acc243dac943692a0ab3ae0f4028201faa946daa5,1784542037.053506,,length,200,32.547529458999634,8,128,1069,True,A_prefill,3737,A_prefill,1784542004.5059764,3865,True
64,284,7601329de23887ef7dee9bc8f84a99fd6d4ed13e77c15ee12c707ca68ec6336a,1784542036.648779,,length,200,32.142443895339966,9,64,1275,True,A_prefill,4444,A_prefill,1784542004.506335,4508,True
64,290,00d779a46cf335ec52a5be0e7487ab9185a842dc81fce14f399b72cdb84961fc,1784542040.7024972,,length,200,36.1954779624939,10,64,1256,True,A_prefill,4387,A_prefill,1784542004.5070193,4451,True
128,606,92e47d75d3d7c95f1e44bc15d2eeb0879235dbc738d7e5e1c49c0d68ae6b8411,1784542021.8294442,,length,200,17.321908235549927,11,128,1285,True,A_prefill,4489,A_prefill,1784542004.507536,4617,True
96,456,4fd956e82582a31e5f1feb65203500cd7dde7058b406c6e801b70359f055294f,1784542041.00763,,length,200,36.499677419662476,12,96,1243,True,A_prefill,4348,A_prefill,1784542004.5079527,4444,True
64,289,6d90add538c6d5c7996ec1536994f1a85bc0855bb93b18ba24e4b0a3b90cf577,1784542036.8498416,,length,200,32.34140467643738,13,64,1170,True,A_prefill,4138,A_prefill,1784542004.508437,4202,True
64,298,4fd36ead8a9d0b0f808c804ff2de636b28f424bd1717af9f7264c0ebb549805d,1784542034.5401669,,length,200,30.031317949295044,14,64,1130,True,A_prefill,3981,A_prefill,1784542004.508849,4045,True
