allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
0,VllmDecodeWorker,,2026-07-23T09:20:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769655.101763
0,VllmDecodeWorker,,2026-07-23T09:20:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769655.1017768
0,VllmPrefillWorker,,2026-07-23T09:20:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769655.1017797
0,VllmPrefillWorker,,2026-07-23T09:20:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769655.101782
0,VllmDecodeWorker,,2026-07-23T09:21:01,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769661.1758528
0,VllmDecodeWorker,,2026-07-23T09:21:01,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769661.175867
0,VllmPrefillWorker,,2026-07-23T09:21:01,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769661.17587
0,VllmPrefillWorker,,2026-07-23T09:21:01,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769661.175872
0,VllmDecodeWorker,,2026-07-23T09:21:07,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769667.3392406
0,VllmDecodeWorker,,2026-07-23T09:21:07,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769667.339254
0,VllmPrefillWorker,,2026-07-23T09:21:07,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769667.3392565
0,VllmPrefillWorker,,2026-07-23T09:21:07,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769667.3392587
0,VllmDecodeWorker,,2026-07-23T09:21:13,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769673.3242755
0,VllmDecodeWorker,,2026-07-23T09:21:13,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769673.324289
0,VllmPrefillWorker,,2026-07-23T09:21:13,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769673.3242915
0,VllmPrefillWorker,,2026-07-23T09:21:13,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769673.3242936
0,VllmDecodeWorker,,2026-07-23T09:21:21,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769681.764824
0,VllmDecodeWorker,,2026-07-23T09:21:21,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769681.7648385
0,VllmPrefillWorker,,2026-07-23T09:21:21,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769681.7648408
0,VllmPrefillWorker,,2026-07-23T09:21:21,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769681.7648427
0,VllmDecodeWorker,,2026-07-23T09:21:32,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769692.5527303
0,VllmDecodeWorker,,2026-07-23T09:21:32,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769692.5527573
0,VllmPrefillWorker,,2026-07-23T09:21:32,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769692.5527632
0,VllmPrefillWorker,,2026-07-23T09:21:32,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769692.5527675
0,VllmDecodeWorker,,2026-07-23T09:21:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769700.3360794
0,VllmDecodeWorker,,2026-07-23T09:21:40,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769700.336094
0,VllmPrefillWorker,,2026-07-23T09:21:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769700.336097
0,VllmPrefillWorker,,2026-07-23T09:21:40,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769700.3360991
0,VllmDecodeWorker,,2026-07-23T09:21:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769708.1325073
0,VllmDecodeWorker,,2026-07-23T09:21:48,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769708.1325219
0,VllmPrefillWorker,,2026-07-23T09:21:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769708.1325247
0,VllmPrefillWorker,,2026-07-23T09:21:48,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769708.1325266
0,VllmDecodeWorker,,2026-07-23T09:21:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769715.5988598
0,VllmDecodeWorker,,2026-07-23T09:21:55,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769715.5988762
0,VllmPrefillWorker,,2026-07-23T09:21:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769715.5988786
0,VllmPrefillWorker,,2026-07-23T09:21:55,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769715.5988805
0,VllmDecodeWorker,,2026-07-23T09:22:02,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769722.7612605
0,VllmDecodeWorker,,2026-07-23T09:22:02,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769722.7612746
0,VllmPrefillWorker,,2026-07-23T09:22:02,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769722.7612772
0,VllmPrefillWorker,,2026-07-23T09:22:02,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769722.7612793
0,VllmDecodeWorker,,2026-07-23T09:22:09,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769729.91839
0,VllmDecodeWorker,,2026-07-23T09:22:09,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769729.9184058
0,VllmPrefillWorker,,2026-07-23T09:22:09,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769729.9184084
0,VllmPrefillWorker,,2026-07-23T09:22:09,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769729.9184105
0,VllmDecodeWorker,,2026-07-23T09:22:16,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769736.1273959
0,VllmDecodeWorker,,2026-07-23T09:22:16,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769736.1274107
0,VllmPrefillWorker,,2026-07-23T09:22:16,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769736.1274135
0,VllmPrefillWorker,,2026-07-23T09:22:16,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769736.1274152
0,VllmDecodeWorker,,2026-07-23T09:22:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-bc5w6,Running,10.244.0.189,False,0,0,2,2,4,1784769742.394845
0,VllmDecodeWorker,,2026-07-23T09:22:22,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-774bdf878-grg2n,Running,10.244.0.190,False,0,0,2,2,4,1784769742.394859
0,VllmPrefillWorker,,2026-07-23T09:22:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969cjdq7,Running,10.244.0.187,False,0,0,2,2,4,1784769742.3948615
0,VllmPrefillWorker,,2026-07-23T09:22:22,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5846f4969mz4xl,Running,10.244.0.188,False,0,0,2,2,4,1784769742.3948636
