allocated_worker_gpus,component,current_role_label,iso,name,phase,pod_ip,ready,ready_decode_count,ready_prefill_count,spec_decode_replicas,spec_prefill_replicas,spec_worker_gpus,ts
2,VllmDecodeWorker,,2026-07-23T09:57:00,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-5494ff7f56b8vz9,Running,10.244.0.216,True,1,1,1,1,2,1784771820.4890609
2,VllmPrefillWorker,,2026-07-23T09:57:00,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5cc595d7-qfrgz,Running,10.244.0.218,False,1,1,1,1,2,1784771820.4890752
2,VllmPrefillWorker,,2026-07-23T09:57:00,vllm-v1-disagg-router-vllmprefillworker-41888dc2-6fdb59758zg5hj,Running,10.244.0.215,True,1,1,1,1,2,1784771820.4890783
2,VllmDecodeWorker,,2026-07-23T09:57:06,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-5494ff7f56b8vz9,Running,10.244.0.216,True,1,1,1,1,2,1784771826.3189325
2,VllmDecodeWorker,,2026-07-23T09:57:06,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-8d9fb476d-kkt9q,Running,10.244.0.219,False,1,1,1,1,2,1784771826.3189483
2,VllmPrefillWorker,,2026-07-23T09:57:06,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5cc595d7-qfrgz,Running,10.244.0.218,False,1,1,1,1,2,1784771826.3189514
2,VllmPrefillWorker,,2026-07-23T09:57:06,vllm-v1-disagg-router-vllmprefillworker-41888dc2-6fdb59758zg5hj,Running,10.244.0.215,True,1,1,1,1,2,1784771826.3189533
2,VllmDecodeWorker,,2026-07-23T09:57:12,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-5494ff7f56b8vz9,Running,10.244.0.216,True,1,1,1,1,2,1784771832.1305966
2,VllmDecodeWorker,,2026-07-23T09:57:12,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-8d9fb476d-kkt9q,Running,10.244.0.219,False,1,1,1,1,2,1784771832.1306114
2,VllmPrefillWorker,,2026-07-23T09:57:12,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5cc595d7-qfrgz,Running,10.244.0.218,False,1,1,1,1,2,1784771832.1306143
2,VllmPrefillWorker,,2026-07-23T09:57:12,vllm-v1-disagg-router-vllmprefillworker-41888dc2-6fdb59758zg5hj,Running,10.244.0.215,True,1,1,1,1,2,1784771832.130616
2,VllmDecodeWorker,,2026-07-23T09:57:18,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-5494ff7f56b8vz9,Running,10.244.0.216,True,1,1,1,1,2,1784771838.5146773
2,VllmDecodeWorker,,2026-07-23T09:57:18,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-8d9fb476d-kkt9q,Running,10.244.0.219,False,1,1,1,1,2,1784771838.5146914
2,VllmPrefillWorker,,2026-07-23T09:57:18,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5cc595d7-qfrgz,Running,10.244.0.218,False,1,1,1,1,2,1784771838.514694
2,VllmPrefillWorker,,2026-07-23T09:57:18,vllm-v1-disagg-router-vllmprefillworker-41888dc2-6fdb59758zg5hj,Running,10.244.0.215,True,1,1,1,1,2,1784771838.514696
2,VllmDecodeWorker,,2026-07-23T09:57:25,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-5494ff7f56b8vz9,Running,10.244.0.216,True,1,1,1,1,2,1784771845.1210225
2,VllmDecodeWorker,,2026-07-23T09:57:25,vllm-v1-disagg-router-vllmdecodeworker-41888dc2-8d9fb476d-kkt9q,Running,10.244.0.219,False,1,1,1,1,2,1784771845.1210365
2,VllmPrefillWorker,,2026-07-23T09:57:25,vllm-v1-disagg-router-vllmprefillworker-41888dc2-5cc595d7-qfrgz,Running,10.244.0.218,False,1,1,1,1,2,1784771845.1210396
2,VllmPrefillWorker,,2026-07-23T09:57:25,vllm-v1-disagg-router-vllmprefillworker-41888dc2-6fdb59758zg5hj,Running,10.244.0.215,True,1,1,1,1,2,1784771845.1210413
