completion_tokens,content_chars,content_sha256,decode_worker_id,end_ts,error,finish_reason,http_code,kv_hit_rate,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prefill_time_ms,prefill_wait_time_ms,prefill_worker_id,prompt_tokens,server_total_time_ms,shape,start_ts,total_tokens,ttft_ms,valid_decode
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.273531,,length,200,0.0,33.83475208282471,1,1,1263,True,prefill_burst,198.920039,19.872856000000002,1964265916868888,4398,32898.817145,long_prompt_short_output,1784772165.4387789,4399,218.792895,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.3999393,,length,200,0.0,33.960525035858154,2,1,1686,True,prefill_burst,377.928655,18.468151,7328399462041700,5854,33007.411142000004,long_prompt_short_output,1784772165.4394143,5855,396.39680599999997,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.3128982,,length,200,0.0,33.87290024757385,3,1,1316,True,prefill_burst,205.075003,13.089833,7328399462041700,4596,32899.311892,long_prompt_short_output,1784772165.439998,4597,218.164836,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4000697,,length,200,0.0,33.95908522605896,4,1,1598,True,prefill_burst,484.594802,12.175733,1964265916868888,5580,32999.687917999996,long_prompt_short_output,1784772165.4409845,5581,496.770535,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.403534,,length,200,0.0,33.961658239364624,5,1,1735,True,prefill_burst,930.724802,18.93571,7328399462041700,6056,32975.116204000005,long_prompt_short_output,1784772165.4418757,6057,949.660512,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4060142,,length,200,0.0,33.96320056915283,6,1,1339,True,prefill_burst,593.830577,15.934885,1964265916868888,4694,33001.376741,long_prompt_short_output,1784772165.4428136,4695,609.7654620000001,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.3935606,,length,200,0.0,33.949618339538574,7,1,1274,True,prefill_burst,481.192516,13.644534,7328399462041700,4437,32998.860892000004,long_prompt_short_output,1784772165.4439423,4438,494.83705,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4016283,,length,200,0.0,33.95706224441528,8,1,1786,True,prefill_burst,642.5343780000001,16.145819,7328399462041700,6235,32979.098186,long_prompt_short_output,1784772165.444566,6236,658.680197,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.403083,,length,200,0.0,33.95795464515686,9,1,1640,True,prefill_burst,743.183394,20.738827,1964265916868888,5711,32979.317921,long_prompt_short_output,1784772165.4451284,5712,763.9222209999999,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4003117,,length,200,0.0,33.95469617843628,10,1,1347,True,prefill_burst,315.668331,14.369973,1964265916868888,4735,33006.931718,long_prompt_short_output,1784772165.4456155,4736,330.038304,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.6156375,,length,200,0.0,34.169408559799194,11,1,1296,True,prefill_burst,960.6572669999999,18.554806,1964265916868888,4532,32974.427908000005,long_prompt_short_output,1784772165.446229,4533,979.212073,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4048643,,length,200,0.0056179775280898875,33.957939863204956,12,1,1631,True,prefill_burst,964.573637,21.035341,7328399462041700,5686,32656.967619,long_prompt_short_output,1784772165.4469244,5687,985.608978,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4026735,,length,200,0.0057306590257879654,33.95509743690491,13,1,1596,True,prefill_burst,1005.99481,18.06213,1964265916868888,5581,32659.213987000003,long_prompt_short_output,1784772165.447576,5582,1024.05694,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4056208,,length,200,0.0,33.95744204521179,14,1,1516,True,prefill_burst,756.512477,12.470794,7328399462041700,5305,32972.499665999996,long_prompt_short_output,1784772165.4481788,5306,768.983271,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4051957,,length,200,0.005449591280653951,33.95643663406372,15,1,1685,True,prefill_burst,792.106091,17.498684,7328399462041700,5872,32655.021658999998,long_prompt_short_output,1784772165.448759,5873,809.604775,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4004853,,length,200,0.0,33.95123553276062,16,1,1435,True,prefill_burst,856.142234,14.764783999999999,1964265916868888,5011,32972.453213,long_prompt_short_output,1784772165.4492497,5012,870.907018,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4027193,,length,200,0.0053475935828877,33.95296025276184,17,1,1709,True,prefill_burst,1518.174771,16.958709,7328399462041700,5970,32631.569224000003,long_prompt_short_output,1784772165.449759,5971,1535.13348,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4009807,,length,200,0.005194805194805195,33.95042276382446,18,1,1756,True,prefill_burst,834.691591,15.633672,1964265916868888,6157,32659.802764,long_prompt_short_output,1784772165.450558,6158,850.325263,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4054773,,length,200,0.0055248618784530384,33.95414328575134,19,1,1664,True,prefill_burst,1345.901936,25.321597,7328399462041700,5792,32647.114872000002,long_prompt_short_output,1784772165.451334,5793,1371.223533,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.405666,,length,200,0.007434944237918215,33.95373487472534,20,1,1225,True,prefill_burst,1109.250188,17.219978,1964265916868888,4294,32654.319149000003,long_prompt_short_output,1784772165.4519312,4295,1126.470166,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.781447,,length,200,0.005797101449275362,34.328904151916504,21,1,1571,True,prefill_burst,1548.3621319999997,15.834857000000001,1964265916868888,5506,33016.534253000005,long_prompt_short_output,1784772165.4525428,5507,1564.196989,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4055276,,length,200,0.005847953216374269,33.95215821266174,22,1,1552,True,prefill_burst,1276.222577,22.885095,1964265916868888,5457,32654.633876,long_prompt_short_output,1784772165.4533694,5458,1299.1076719999999,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4058206,,length,200,0.006369426751592357,33.95167422294617,23,1,1435,True,prefill_burst,1388.420211,13.132226000000001,1964265916868888,5011,32638.695376999996,long_prompt_short_output,1784772165.4541464,5012,1401.5524369999998,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4027827,,length,200,0.006211180124223602,33.94805979728699,24,1,1475,True,prefill_burst,1183.72406,15.981031,7328399462041700,5151,32646.32998,long_prompt_short_output,1784772165.454723,5152,1199.705091,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.7833886,,length,200,0.0060790273556231,34.32818269729614,25,1,1502,True,prefill_burst,1476.348634,16.574523,1964265916868888,5260,32825.619597,long_prompt_short_output,1784772165.455206,5261,1492.923157,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.4035864,,length,200,0.007462686567164179,33.947261571884155,26,1,1218,True,prefill_burst,1064.75892,8.999856000000001,7328399462041700,4273,32640.721197,long_prompt_short_output,1784772165.4563248,4274,1073.7587760000001,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772206.051983,,length,200,0.005633802816901409,40.595107316970825,27,1,1624,True,prefill_burst,2570.785559,37.903746000000005,7328399462041700,5665,39082.422303,long_prompt_short_output,1784772165.4568758,5666,2608.689305,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.784374,,length,200,0.0060790273556231,34.3269202709198,28,1,1501,True,prefill_burst,1494.8171889999999,13.435747,7328399462041700,5259,32826.45766,long_prompt_short_output,1784772165.4574537,5260,1508.2529359999999,True
1,7,7d329bb7d9d43bf17bcafd4cb8203e1b94423923e87980bd1d2d9fc525d50b99,8396386473951890,1784772199.9205182,,length,200,0.007194244604316547,34.46232843399048,29,1,1269,True,prefill_burst,1848.561879,23.650661,1964265916868888,4442,32811.123455,long_prompt_short_output,1784772165.4581897,4443,1872.21254,True
